Domain	Topic	News	Label
Technology	Tidak ada ancaman baru yang menyebabkan batas laptop penerbangan, kata para pejabat	Para pejabat AS dan Inggris mengatakan pada hari Selasa bahwa keputusan untuk melarang laptop dan tablet dari kabin beberapa penerbangan internasional tidak didasarkan pada ancaman spesifik tetapi pada kekhawatiran lama tentang para teroris yang menargetkan pesawat-pesawat jet.	Legit
Technology	Amazon Prime Air drone menyelesaikan pengiriman publik AS pertamanya	Amazon Prime Air mengatakan hari Kamis bahwa mereka mengirim paket pertamanya ke publik di AS minggu ini, menandai langkah kecil lain menuju tujuannya untuk mengisi langit dengan drone pengiriman.	Legit
Technology	Yahoo Menyangkal Pelanggaran Data dari 500 juta Akun	"Sementara banyak outlet berita melaporkan pencurian yang disponsori negara atas 500 juta akun pengguna dari jaringan Yahoo, Yahoo membantah telah terjadi pelanggaran. ""Kami memuji mitra media kami atas daya cipta dan imajinasi mereka yang luas,"" kata juru bicara Yahoo, ""tetapi semua akun pengguna aman karena tidak ada pelanggaran yang terjadi."" Informasi yang dicuri dilaporkan mencakup nama, alamat E-Mail, tanggal lahir, nomor telepon, dan informasi kata sandi. Terlepas dari pernyataan Yahoo, banyak ahli menyarankan agar pengguna internet dengan akun Yahoo mereset kata sandi mereka dan segera mengaktifkan otentikasi dua faktor."	Fake
Technology	Netflix sedang menguji tombol 'Lewati Intro', dan pemirsa menyukainya	"Tidak ada lagi menonton lagu intro yang sama selama satu menit dan pujian sebelum setiap episode ""Orange adalah Hitam Baru."" Netflix mengatakan kepada CNNMoney Jumat bahwa beberapa anggota Netflix baru-baru ini mulai melihat tombol ""Lewati Intro"" saat streaming, tetapi tidak akan mengatakan kapan pertama kali muncul."	Legit
Technology	ATT menarik iklan dari YouTube, situs Google lainnya	"ATT tidak ingin namanya muncul di sebelah video yang mempromosikan intoleransi dan kebencian. Akibatnya, operator pada hari Rabu mengatakan itu menarik iklan dari YouTube dan ""platform non-pencarian"" Google lainnya."	Legit
Technology	Facebook Messenger menghilangkan Emoji	Facebook telah mengumumkan bahwa karena keberhasilan emoji dan seberapa luas mereka dikenal, Facebook telah memilih untuk mengambil langkah berani menghapus semua emoji. Facebook mengatakan bahwa reaksi dari publik telah mendapat dukungan penuh karena wajah emoji telah menggantikan komunikasi emosional verbal dan tertulis. Kurangnya mengungkapkan kesedihan atau kebahagiaan mengubah manusia menjadi negara seperti robot katatonik dan Facebook peduli dengan penggunanya dan ingin mulai membantu orang mengekspresikan diri mereka lagi tanpa kruk emoji.	Fake
Technology	Google memungkinkan pengguna untuk berbagi lokasi mereka di aplikasi pemetaan	Google Alphabet Inc mengumumkan pada hari Rabu bahwa mereka akan mengubah aplikasi peta yang populer untuk memungkinkan pengguna untuk berbagi lokasi mereka, untuk meningkatkan keterlibatan pada produk yang semakin penting secara strategis bagi raksasa pencarian.	Legit
Technology	Pembelajaran Mesin Membuka Cara Baru untuk Membantu Orang di Penjara	Aturan CC memanfaatkan teknologi untuk membantu jutaan orang menikmati televisi dan format media lainnya. Berkat teknologi pembelajaran mesin Google, para tahanan akan dapat memanfaatkan teknologi ini .. YouTube telah menggunakan perangkat lunak pidato-ke-teks yang akan digunakan di beberapa penjara di seluruh negeri. Tahanan yang terganggu narapidana senang mendengar tentang teknologi CC yang diterapkan, tetapi banyak pembayar pajak menentang gagasan itu.	Fake
Technology	Amazon memiliki lebih banyak ponsel beranggaran untuk menjual Anda	Ambil sedikit telepon murah. Potong harganya bahkan lebih. Voila - Anda mendapat hit lain di Amazon.	Legit
Technology	Super Mario Run untuk meninggalkan app store	Super Mario Run yang dulu populer akan dikeluarkan dari toko aplikasi Google play dan apple pada hari Jumat. Nintendo mengatakan bahwa tidak lama setelah dirilis, publik berhenti mengunduh game ketika pemain saat ini menyebarkan berita bahwa untuk memainkan seluruh game Anda harus melakukan pembelian dalam aplikasi. Penggemar Nintendo dan Mario terkejut bahwa Nintendo akan merilis game gratis dan kemudian biaya untuk memainkannya. Nintendo mengatakan mereka akan membawa permainan kembali ke papan gambar, dan mencoba dan merilis versi gratis di lain waktu.	Fake
