Domain	Topic	News	Label
Sports	Wilfried Zaha membalas klaim Southgate 'skala waktu' atas pemilihan Inggris	Wilfried Zaha telah menolak saran Gareth Southgate bahwa ia telah memaksakan skala waktu untuk dipilih kembali oleh Inggris secara efektif menahan tim nasional untuk tebusan dan telah membela haknya untuk bukan mewakili negara tempat kelahirannya Pantai Gading. Penyerang Crystal Palace yang ditahan oleh Inggris dalam pertandingan persahabatan melawan Swedia dan Skotlandia selama masa Roy Hodgson sebagai manajer marah dengan komentar Southgate setelah kemenangan kualifikasi Piala Dunia melawan Lithuania pada hari Minggu. Zaha mengeluarkan pernyataan melalui wakilnya Will Salthouse of Unique Sports Management pada hari Selasa dan menyiratkan kekecewaan bahwa manajer permanen Inggris yang baru ditunjuk telah membuat rincian publik dari pertemuan yang diadakan dengan pemain sayap pada bulan Desember.	Legit
Sports	Brasil lolos ke Piala Dunia 2018 setelah Coutinho dan Neymar menurunkan Paraguay	Brasil telah menjadi tim pertama yang lolos ke Piala Dunia 2018 mempertahankan rekor bangga mereka sebagai satu-satunya tim yang selalu hadir di turnamen ini dengan sedikit bantuan dari mulut busuk Lionel Messi dan Peru yang dianggap ringan. Juara lima kali itu mengalahkan Paraguay 3-0 pada Selasa untuk kemenangan beruntun kedelapan mereka di kompetisi kualifikasi Amerika Selatan. Itu sendiri tidak cukup untuk mengonfirmasi keikutsertaan mereka di Rusia tetapi kemenangan mengejutkan Peru 2-1 atas Uruguay di pertandingan berikutnya menjamin Brazil finis di posisi empat besar.	Legit
Sports	John Wall mengalami cedera dalam perjalanan Wizards ke Cleveland	"""Matahari Northeast Ohio tetap tersembunyi sementara Washington Wizards berada di kota dan suhunya membutuhkan pakaian luar yang berat. Tetapi John Wall masih merasa baik-baik saja. Dia mengatakan tulang-belulangnya yang lelah terasa segar. Namun, ini tidak lama. Sakit kepala migrain dari sebelumnya dalam sepekan berlalu, tetapi pada kuarter keempat, point guard Wall mengalami cedera akhir musim pada achillesnya. Getaran buruk ini menyebabkan kekalahan dari Cavaliers - skor menjadi 127-115, kekalahan dari Cleveland Cavaliers. cedera, Wall menjelaskan bagaimana dia berharap dia tidak pernah melompat untuk bola dan bahwa ini mungkin merupakan jalan panjang menuju pemulihan. """	Fake
Sports	Roger Federer mengalahkan Roberto Bautista Agut saat Stan Wawrinka kalah dari Alexander Zverev	Roger Federer menyingkirkan Roberto Bautista Agut di Miami Open untuk tetap berada di jalur untuk gelar Masters yang saling berhadapan, tetapi unggulan utama Stan Wawrinka absen. Federer telah memulai 2017 dengan beberapa bentuk karirnya yang terbaik dan paling tak terduga dan setelah mengklaim Masters judul nomor 25 di Indian Wells lebih dari seminggu yang lalu ia tetap di jalur untuk nomor 26 akhir pekan ini setelah menyamai permulaan terbaiknya untuk musim (16-1) dengan kemenangan 7-6 7-6. Petenis Swiss itu tidak memiliki segalanya dengan caranya sendiri melawan Bautista Agut yang membutuhkan dua tie-break untuk menyingkirkan unggulan ke-14 dari Spanyol itu hanya dalam waktu kurang dari dua jam.	Legit
Sports	Lelang basket 'alkitab' mencatat rekor memorabilia olahraga	"13 aturan bola basket pertama terjual Jumat untuk lebih dari 4 juta rekor untuk harga penjualan tertinggi untuk memorabilia olahraga menurut Sotheby yang melakukan lelang. Rumah lelang memperkirakan bahwa dua halaman ""Aturan Pendirian Bola Basket"" Dr. James Naismith akan menghasilkan kurang dari setengah 4 338 500 yang ditawarkan David dan Suzanne Booth untuk dokumen berusia 119 tahun itu. ""Ini adalah akte kelahiran. Itu dimulai di sini, kata Selby Kiffer, wakil presiden Sotheby untuk departemen manuskrip dan buku. Naismith, seorang instruktur pendidikan jasmani Kanada yang bekerja di YMCA New England, menciptakan permainan Bola Basket"" sehingga para siswa dapat bermain olah raga di dalam ruangan di musim dingin. Naismith tidak tahu bahwa penemuannya akan berkembang begitu cepat setelah gerakan YMCA memperkenalkannya di tingkat internasional."	Legit
Sports	Petugas Polisi yang Tidak Benar Dipenjara	"Di bawah ""Hukum Hillsborough,"" yang baru, 12 polisi London telah dipenjara karena apa yang oleh banyak pengamat disebut inkonsistensi kecil atau penghindaran hormat dalam kesaksian mereka saat pemeriksaan. Undang-undang yang baru ini menuntut keterusterangan total dari semua petugas polisi di setiap tingkat, dan 8 dari polisi yang dipenjara telah dijatuhi hukuman dua tahun karena memberikan apa yang disebut deskripsi pengacara ""baik dan bijaksana"" di pengadilan terbuka, daripada transparansi yang sepenuhnya. peraturan sekarang mensyaratkan. Anggota parlemen dari Partai Buruh Andy Burnham berkomentar, ""Ketika Anda adalah anggota dari salah satu keluarga yang berduka ini, kadang-kadang Anda tidak bisa menangani kebenaran."""	Fake
Sports	Keadaan Olahraga: Amatir menteri olahraga 'perhatian' temuan doping	"Tingkat doping dalam olahraga amatir - diungkapkan oleh jajak pendapat untuk BBC - adalah ""keprihatinan"" kata menteri olahraga Tracey Crouch. Investigasi State of Sport BBC menemukan lebih dari sepertiga (35%) orang olahraga amatir mengatakan bahwa mereka secara pribadi mengenal seseorang yang telah melakukan doping. Setengah mengatakan penggunaan zat meningkatkan kinerja ""luas"" di antara mereka yang bermain olahraga kompetitif. Crouch mengatakan doping ""benar-benar tidak dapat diterima di semua tingkat olahraga"". Dia menambahkan: ""Saya pikir masih banyak yang bisa dilakukan badan-badan olahraga di lini depan ini bekerja bersama UK Anti-Doping untuk membantu mempromosikan olahraga bersih."" Penyelidikan doping dalam olahraga amatir di Inggris juga menemukan 8% dari orang-orang olahraga amatir mengatakan mereka telah menggunakan steroid sementara 49% berpikir obat peningkat kinerja (PED) ""mudah tersedia"" di antara orang-orang yang bermain olahraga secara teratur."	Legit
Sports	"Formula Satu memasuki Era Baru yang menarik pada hari Minggu ini ""Ketika Bernadete Ecclestones akan menjadi tuan rumah balapan perdana musim balap Formula Satu 2017 untuk pertama kalinya di Melbourne Australia pada hari Minggu."" Malory C. Johnson, ketua perusahaan Patriots Media Corporation yang berbasis di Colorado, telah membeli 60,3 persen saham Formula Satu yang luar biasa dan ingin meyakinkan pelanggan bahwa ""Berny"" yang mereka cintai akan terus menjadi tuan rumah. Meskipun Ecclestones tidak pernah dikenal karena pengetahuannya tentang mobil atau peraturan, penggemar telah mengagumi ketenangannya yang ceria selama bertahun-tahun. Dengan Patriots Media Co, sebuah stasiun resmi utama, banyak penggemar yang bertanya-tanya bagaimana dua sikap yang berbeda akan bekerja bersama. Carey Smith sekarang adalah kepala manajemen di Formula Satu dan mengatakan posisinya jauh dari mencapai potensi penuhnya. Dia berencana untuk meningkatkan ukuran tontonan untuk balapan dengan mengatakan, ""setiap perlombaan harus sama dengan 16 turnamen sepak bola dengan satu minggu acara, entmt, dan menyenangkan yang menyatukan seluruh komunitas dan seterusnya."""	"Menyiapkan Face-Off Dengan Trump ""Badan udara bersih California memberikan suara pada hari Jumat untuk mengevaluasi kembali standar emisi mereka yang lebih ketat untuk mobil dan truk. Pemungutan suara oleh Dewan Sumber Daya Udara California adalah indikasi paling berani dari keragu-raguan California dalam kebijakan lingkungan. Politisi terkemuka di negara dari gubernur hingga banyak walikota telah berjanji berbicara untuk rakyat. Trump mendukung industri atas kekhawatiran lingkungan mengatakan pelonggaran peraturan emisi akan membantu merangsang manufaktur mobil. Dia bersumpah pekan lalu untuk melonggarkan peraturan. tahun mendukung standar yang lebih ketat. """	Fake
Sports	Mantan pembalap IndyCar dan Nascar, David Steele terbunuh dalam lomba Florida	"Veteran mobil Sprint, David Steele, tewas dalam lomba di Florida. Pejabat Desoto Speedway mengatakan dalam sebuah posting Facebook pada Sabtu malam bahwa pemilik trek dan stafnya sedih dengan kecelakaan itu. Pernyataan itu mengatakan Steele berusaha memenangkan balapan ke-100 di Florida. ""Pemilik dan staf Desoto Speedway sedih dengan meninggalnya David Steele malam ini di mobil Sprint yang menampilkan tulisan yang dibacanya. Pikiran dan doa ditujukan kepada keluarga dan teman-temannya yang semua hadir untuk menyaksikan dia mencoba memenangkan balapan Florida yang ke-100."" Laporan Kantor Manatee County Sheriff mengatakan Steele mengendarai mobil sprint ketika roda depan kiri kendaraannya menabrak roda belakang kanan mobil lain yang menyebabkan kendaraan Steele naik di udara berputar 180 derajat dan menabrak dinding penahan. Petugas medis berusaha mengobatinya tetapi dia dinyatakan meninggal. Dia berusia 42 tahun."	Legit
Sports	Lewis Hamilton mengatakan dia akan duduk di perburuan gelar juara dunia	"Lewis Hamilton, pengemudi mobil balap dari Inggris, mengatakan ia akan mengikuti lomba gelar dunia tahun ini. Dalam balapan terakhir Hamilton, ia berada di urutan kedua di Grand Prix Australia untuk pembalap Jerman Sebastian Vettel. Hamilton mengatakan: ""Setelah kekalahan di Grand Prix Australia, saya benar-benar membutuhkan waktu untuk pemulihan mental sebelum saya kembali dalam permainan. Mungkin dalam satu atau dua tahun saya akan kembali dengan tim saya setelah kami membuat rencana untuk maju"". Hamilton kehilangan balapan terakhirnya karena kecepatan yang unggul dari Sebastian Vettel dan pit stop awal oleh Max Verstappen dari Red Bull. ""Perubahan aturan besar akan segera datang. Begitu kita melihat apa aturan baru itu menyesuaikan rencana balapan kita, semoga kita akan kembali balapan lagi"", kata Hamilton. Sementara itu sepertinya trek akan merindukan Lewis Hamilton."	Fake
