Domain	Topic	News	Label
Sports	Roger Federer mengalahkan Frances Tiafoe saat kembali ke Miami Open	"Roger Federer mengalahkan remaja Amerika Frances Tiafoe dalam pertandingan pertamanya di Miami Terbuka selama tiga tahun. Petenis Swiss 35 itu mengalahkan petenis kualifikasi berusia 19 tahun itu 7-6 (7-2) 6-3 untuk membuat rekor 2017 menjadi 14 kemenangan dan satu kekalahan. Federer yang menang telah memenangkan gelar Australia Terbuka dan Indian Wells tahun ini merindukan Miami karena sakit pada 2016. Unggulan teratas Stan Wawrinka mengalahkan Horacio Zeballos 6-3 6-4 sementara unggulan kelima wanita Agnieszka Radwanska dihancurkan 6-0 6-3 oleh Mirjana Lucic-Baroni. ""Ini kondisi yang sangat sulit hujan dan sangat berangin hari ini kata Swiss Wawrinka. Ini benar-benar berangin di lapangan sehingga tidak pernah mudah. Saya senang dengan cara saya bergerak dengan cara saya bermain dan sikap saya secara umum sangat positif jadi itu pertandingan yang bagus. "" Federer mengambil di mana ia tinggalkan di Indian Wells memenangkan 20 poin layanan pertamanya dalam perjalanan untuk mengatasi upaya mengesankan dari Tiafoe nomor 101 dunia."	Legit
Celebrity	'Sudah lama datang': Heidi Klum mengakhiri pernikahan tujuh tahun atas 'temperamen vulkanik' Seal	Seal dan Heidi Klum bersikeras bahwa perpisahan mereka 'bersahabat' kemarin meskipun ada laporan bahwa supermodel itu tidak lagi tahan dengan ciuman dari temperamen vulkanik penyanyi Rose.	Fake
Celebrity	Liam Payne Just Dissed Solo Music Harry Styles	Musik baru Harry Styles bukan untuk semua orang, bahkan mantan teman band One Direction, Liam Payne.	Fake
Entertainment	Kita semua tahu mengapa orang benar marah pada Tomi Lahren	"Sayang konservatif yang berubah menjadi paria, Tomi Lahren mendapatkan kursus singkat tentang apa yang benar pikirkan tentang wanita. Lahren, 24 tahun, yang dikenal karena video monolognya, yang tampil dengan nada merendahkan diri, meningkat pesat di media sayap kanan. Dia muda berambut pirang berpendapat dan konservatif dan tidak takut untuk menggunakan daya tarik seks sebagai gada. ""Tampaknya kaum feminis semua tentang kebebasan berekspresi selama perempuan kelebihan berat badan atau transgender,"" katanya dalam satu video. Menjadi seorang wanita muda, menarik, konservatif juga memberikan kedoknya untuk membuat komentar mengejutkan yang kejam yang akan menenggelamkan lainnya. karir - menyarankan, misalnya, bahwa pengungsi Suriah yang melarikan diri untuk kehidupan mereka (dan kehidupan anak-anak mereka) adalah pengecut yang tidak akan tinggal untuk membela negara mereka. Orang Amerika berdiri dan berjuang untuk keluarga beriman dan kebebasan membaca teks yang disandingkan pada gambar dirinya, yang dia tweet. Suriah melarikan diri. """	Legit
Celebrity	Di dalam baby shower Beyonce	Jangan bertingkah seolah-olah Anda tidak tahu Beyonce akan mematikannya ketika datang ke baby shower-nya.	Legit
Technology	Apakah Mobil Otonom Siap Melakukannya Sendiri?	Roda pelatihan untuk kendaraan otonom datang dalam bentuk manusia di belakang kemudi. Tetapi ketika Anda menghapus pengemudi keselamatan dari mobil robot, dua ton logam dilepaskan.	Legit
Education	Torona Membatalkan Perjalanan Kelas AS Karena Trump Memanggil Kanada Pengecut Energi Rendah.	"Dewan sekolah terbesar Kanada telah melarang semua kunjungan lapangan di masa depan ke Amerika Serikat karena kekhawatiran atas komentar yang dibuat di salah satu Rapat Umum Presiden Trump baru-baru ini di mana Trump dikutip mengatakan, ""Saya katakan dengan tulus bahwa Kanada tidak lebih dari sekelompok orang Kanada."" pengecut energi rendah. "" Sebuah paduan suara anak perempuan di California baru saja menjadi institusi AS terbaru untuk meninggalkan perjalanan ke luar negeri dengan alasan yang sama. Dewan Sekolah Distrik Toronto menulis dalam surat kepada kepala sekolah Kamis bahwa mereka harus membuat keputusan untuk lulus dengan suara bulat selama pertemuan yang diadakan malam sebelumnya, didorong oleh kekhawatiran untuk melindungi keselamatan siswa dan berpegang teguh pada nilai-nilai kesetaraan dan masyarakat. Warga Kanada khawatir bahwa komentar Trumps dapat mempengaruhi hubungan di masa depan antara kedua negara."	Fake
Celebrity	Meghan Markle Dikabarkan Pindah Ke Istana Kensington bersama Pangeran Harry	Jika laporan dapat dipercaya, maka Meghan Markle akan segera memberikan upgrade kerajaan kepada sitch yang masih hidup. Secara harfiah.	Legit
Celebrity	Selena Gomez dan Jennifer Aniston Tanggal Ganda: Komentar Jen Tentang eeknd ere Lies	Selena Gomez saat ini berkencan dengan The eeknd. Sahabatnya Jennifer Aniston mendukungnya tetapi hubungan mereka kadang-kadang ditargetkan oleh rumor mongers.	Legit
Celebrity	Ini Resmi: Reuni Spice Girls Sebenarnya Terjadi	"Sekitar setahun yang lalu, Spice Girls merayakan ulang tahun ke 20 single ""annabe"" mereka. Single, yang, meskipun menjadi yang pertama grup, berhasil mencapai puncak tangga lagu di hampir setiap negara itu dirilis, menetapkan preseden untuk kuintet menjadi salah satu kekuatan musik terbesar di zaman mereka - sebuah takdir yang terpenuhi sepuluh kali lipat."	Fake
Education	Audiensi Pendidikan Betsy DeVos Meletus ke dalam Debat Partisan	"WASHINGTON - Pada sidang konfirmasi pada hari Selasa untuk menjadi sekretaris pendidikan, Betsy DeVos dengan penuh semangat membela pekerjaannya yang menghasilkan uang pembayar pajak dari sekolah umum tradisional, dengan alasan bahwa sudah waktunya untuk beralih dari sistem ""satu ukuran untuk semua"" dan menuju model yang lebih baru untuk siswa. dari prasekolah ke perguruan tinggi."	Legit
Sports	Jimmy Anderson berharap untuk musim panas Uji Inggris bebas cedera dalam runup ke Ashes	"Pengambilan gawang terkemuka sepanjang masa Inggris, Jimmy Anderson, tetap yakin tubuhnya dapat bertahan dari ketujuh tes dalam dua bulan musim panas ini, tetapi ketika ia berusia 35 tahun pada Juli, ia harus mengambil ""langkah demi langkah"". Sebagai akibatnya, swing bowler Lancashire tidak dapat melihat ke depan sebagai tur Inggris ke Australia di akhir tahun yang akan menjadi tur Ashes keempatnya. Sejak absen dalam Tes akhir Inggris di India pada bulan Desember - Tes kelima yang dia lewatkan karena cedera pada 11 tahun terakhir di Inggris - dengan bahu bermasalah yang mempengaruhi tahun-nya, Anderson menghabiskan Januari untuk beristirahat dan sejak itu menjalani pra-musim penuh dengan Lancashire yang menjadi targetnya. tersedia di awal musim."	Legit
Sports	Dai Young memberi tahu lini belakang Tawon untuk 'santai' melawan Leinster untuk mencegah cedera	"""Garis belakang bertabur bintang Tawon telah didesak untuk menjadi sedikit lebih longgar jika mereka berniat untuk tetap fit dan menghindari cedera terhadap pesaing yang buruk ini. Tidak ada tim di Inggris yang mencetak lebih banyak percobaan daripada para pemimpin Liga Utama tetapi kepala pelatih Dai Young telah memperingatkan skuadnya bahwa serangan gemilang dapat membuat mereka dalam bahaya.Kisaran bakat menyenangkan kerumunan di pembuangan Tawon di belakang scrum hampir mengingatkan kita pada Harlem Globetrotters dengan Kurtley Beale Willie le Roux Christian Wade dan Danny Cipriani yang mampu membuat permainan di setiap saat. Ini adalah sesuatu yang pelatih harapkan untuk tetap hidup. Mereka tidak memiliki ruang untuk cedera menjelang playoff. """	Fake
Entertainment	Scarlett Johansson menolak untuk memberikan spoiler tentang 'Ghost in the Shell'	"""Aktris Scarlett Johansson menyatakan dia tidak akan berbagi rahasia dari film barunya"" Ghost in the Shell, dalam sebuah wawancara dengan Good Morning America ""jangkar Michael Strahan yang ditayangkan hari ini. Johansson mengatakan bahwa ketika"" Ghost in the Shell ""pertama kali dibawa untuk perhatiannya, itu ""tampak penuh dengan rahasia besar yang dia benar-benar tidak pernah bisa ungkapkan."" Dan juga Anda tahu untuk dapat memiliki kembali studio seperti ini Johansson menambahkan, sebagai seorang aktor ... sebagai seorang wanita itu langka. Saya harap Anda semua dapat menonton film dan menemukan semua Telur Paskah di sana. """	Fake
Celebrity	Film Kristen Stewart Drops 'Twilight' dengan Robert Pattinson: Mendapat Peran Baru di Thriller 'Bawah Air' | Celeb Dirty Laundry	Sepertinya Kristen Stewart tidak akan punya waktu untuk membuat film 'Twilight' dengan Robert Pattinson dalam waktu dekat. Bahkan, laporan baru menunjukkan bahwa bintang Hollywood itu baru saja mendapatkan peran baru dalam film thriller psikologis, 'Underwater.'	Fake
Education	Pertukaran siswa mengatakan sekolah menengah AS lebih mudah dan memecahkan semua olahraga	Suatu hal lucu terjadi dalam perjalanan untuk membuat sekolah menengah AS lebih sulit: Dunia industri lainnya membuat sekolah mereka semakin sulit.	Legit
Business	Swedia Diperingatkan untuk Tidak Kembali ke Pajak Tinggi 70-an karena Penghasilan Diperas	"Jangan kembalikan Swedia ke pajak tinggi tahun 1970-an dan 1980-an. Peringatan itu datang dari think tank ekonomi Swedia yang didanai negara ketika pemerintah yang dipimpin Sosial Demokratik telah menaikkan pajak pada pekerja sementara berencana untuk memotong retribusi pada pensiunan dan mereka yang mengumpulkan tunjangan. ""Ada efek negatif besar setidaknya dalam jangka panjang dari pajak pendapatan negara yang lebih tinggi dan tarif pajak marginal Urban Hansson Brusewitz, direktur jenderal di National Institute of Economic Research, mengatakan dalam sebuah wawancara Selasa di Stockholm. arah terlalu lama akan berbahaya bagi Swedia. """	Legit
Business	Pembicaraan Brexit akan gagal tanpa kompromi: José Manuel Barroso	"Negosiasi Brexit pada jalurnya akan gagal kecuali jika Inggris dan Uni Eropa membuang pendekatan pemenang-mengambil-semua untuk pembicaraan mendatang, kata mantan presiden komisi Eropa José Manuel Barroso. Dengan hanya beberapa hari sebelum Theresa May secara resmi memberi tahu Brussels tentang niat Inggris untuk meninggalkan Uni Eropa Jean-Claude Juncker pendahulu mengatakan kedua belah pihak memainkan permainan berbahaya. Perdana menteri Inggris mengatakan dia percaya ""tidak ada kesepakatan yang lebih baik daripada kesepakatan yang buruk"" dan beberapa di kabinetnya secara terbuka membicarakan prospek untuk meninggalkan meja perundingan."	Legit
Education	Bagaimana nutrisi mempengaruhi kinerja sekolah anak-anak?	Ketika para politisi memperdebatkan pengeluaran dan pemotongan anggaran yang diusulkan Presiden Donald Trump, ada pertanyaan tentang dampak program gizi bagi anak-anak.	Legit
Celebrity	MTO TEH EKSPLOSIF: ord Keluar Dari BARBADOS. . . . Is That Rihanna Is PREGNANT. . . Hanya SATU BULAN Setelah Dia Terlihat MENARIK dengan Pangeran Inggris	29 Desember 2016: e baru saja mendapatkan TEH EKSPLOSIF dari luar Barbados - tempat Rihanna tinggal selama seminggu terakhir. Orang-orang yang dekat dengannya berspekulasi bahwa dia mungkin HAMIL.	Fake
Politics	Hakim federal memihak administrasi Trump dalam kasus larangan perjalanan	(CNN) Seorang hakim federal di Virginia memutuskan mendukung pemerintahan Trump pada hari Jumat, menolak untuk bergabung dengan pengadilan federal lainnya yang menghentikan larangan perjalanan Presiden yang direvisi minggu lalu.	Legit
