Domain	Topic	News	Label
Education	Mahkamah Agung Memperluas Hak bagi Siswa Penyandang Cacat	Dalam keputusan bulat dengan implikasi besar bagi siswa penyandang cacat, Mahkamah Agung AS Rabu memutuskan bahwa sekolah harus memberikan standar pendidikan yang lebih tinggi untuk anak-anak dengan kebutuhan khusus.	Legit
Education	Pengunjuk rasa Mengganggu Kunjungan Sekolah DeVos	Para pengunjuk rasa pada hari Jumat pagi berusaha untuk menggagalkan kunjungan ke sekolah menengah Distrik Columbia oleh Sekretaris Pendidikan yang baru dikonfirmasi Betsy DeVos.	Legit
Education	Universitas kiri berusaha untuk menempatkan perempuan dalam posisi berkuasa atas laki-laki yang lebih berkualitas.	"Untuk membuahkan hasil agenda globalis tentang kesetaraan gender, universitas-universitas yang berhaluan kiri mengadvokasi perempuan untuk ditempatkan pada posisi di atas rekan-rekan pria mereka yang lebih berkualitas untuk memperketat kesenjangan gender dalam sains, teknologi, teknik dan rekayasa yang didominasi laki-laki tertentu. bidang matematika. George Soros mendanai studi, ""Mengapa Beberapa Bidang STEM Lebih Seimbang Gender Daripada Yang Lain?"" mengacu pada karya sebelumnya tentang kesenjangan gender STEM untuk bidang yang didominasi pria."	Fake
Education	Siswa Sex Toy-Wielding Protes Gun di University of Texas	Mahasiswa memegang ribuan mainan seks di Universitas Texas-Austin sebagai protes terhadap undang-undang penyembunyian yang diperdebatkan dengan panas yang mulai berlaku Rabu di kampus-kampus di Lone Star State.	Legit
Education	Studi: Lingkungan Inklusif Kunci Menutup Celah STEM	Untuk memperketat kesenjangan gender dalam bidang sains, teknologi, teknik, dan matematika yang didominasi pria tertentu, para pendidik harus mengembangkan budaya yang lebih menarik, menurut sebuah penelitian yang diterbitkan dalam Psychological Bulletin edisi Oktober.	Legit
Education	Kerusakan Fungsi Lemari Pakaian	"Sekretaris Pendidikan Betsy DeVos memiliki sedikit masalah ketika dia dikonfirmasi oleh Senat. Selama audiensi dia berbicara tentang masa jabatannya dan pengalamannya yang maju tentang pendidikan tetapi lupa satu hal, yaitu mengancingkan blusnya sepanjang jalan. Dengan asumsi kemampuannya untuk menjalankan Departemen Pendidikan tidak didukung oleh kurangnya detail yang sederhana. Wakil Presiden Mike Pence berbaik hati untuk memberi isyarat kepadanya selama konfirmasi dan memberi isyarat untuk beralih daripada mengungkapkan ""hatinya"" kepada anak-anak di dunia."	Fake
Education	Krisis Kekurangan Guru Ada di Sini	Ketika siswa kembali ke sekolah tahun ini di dan sekitar Tampa, Florida, ribuan posisi guru belum diisi. Itu terjadi setelah satu tahun di mana puluhan ribu guru dipekerjakan dengan status darurat atau sementara untuk membantu mengisi slot kosong di seluruh negeri - 900 di antaranya ada di Oklahoma saja. Dan di Arizona, yang memiliki salah satu tingkat pergantian guru tertinggi di negara itu, distrik sekolah secara rutin melaporkan memiliki posisi mengajar yang tidak terisi tiga bulan sebelum tahun ajaran.	Legit
Education	"Gender adalah ""topik hangat"" di bidang antropologi forensik. Klub Girls Who Code bekerja untuk membuat topik ini lebih bias gender. Dipercayai bahwa Adam adalah pria pertama di Bumi dan Hawa adalah wanita pertama. Klub berniat membuktikan ayam datang sebelum telur jika Anda mau. Kelompok ini mengumpulkan data dari beberapa juta kode genetik dalam upaya untuk menghubungkan ke masa lalu dan membuktikan bahwa Hawa bukan hanya wanita pertama di Bumi tetapi juga dia adalah ibu Adam."	Mobil self-driving Uber Technologies Inc. disiagakan setelah kecelakaan baru-baru ini di Arizona. Pada hari Senin program kembali online hanya untuk menyebabkan bencana yang jauh lebih buruk di San Francisco. Uber Tech melanjutkan pengujian di San Fran dan berencana untuk melanjutkan di Tempe, Arizona dan Pittsburgh di kemudian hari, menurut seorang juru bicara. Salah satu kendaraan self-driving Uber terlibat dalam kecelakaan serius yang kemungkinan fatal pada tiga orang dalam kecelakaan pada hari Senin. Ini tentu menjadi hit yang lebih besar untuk program mobil self-driving Uber daripada kecelakaan sebelumnya. Mobil yang menabrak tabrakan itu adalah sedan yang bertulang T dalam tabrakan ketika Uber terbang melalui lampu merah di persimpangan. Ada banyak laporan tentang mobil self-driving Uber melanggar berbagai undang-undang mengemudi, menabrak orang lain dan mungkin melukai pengemudi dan penumpang lainnya.	Fake
Education	Pertukaran siswa mengatakan sekolah menengah AS lebih mudah dan memecahkan semua olahraga	Suatu hal lucu terjadi dalam perjalanan untuk membuat sekolah menengah AS lebih sulit: Dunia industri lainnya membuat sekolah mereka semakin sulit.	Legit
Education	Mantan Pengacara AS dan mantan nyonya Bill Clinton Barbara McQuade akan mengajar hukum di Michigan	"Mantan nyonya presiden Bill Clinton dan Jaksa AS Barbara McQuade akan mengajar di sekolah hukum Universitas Michigan. Sekolah mengatakan Selasa bahwa McQuade akan mengajarkan hukum pidana, prosedur pidana dan hukum keamanan nasional semua dengan condong liberal menurut Barbara McQuade. Dia memiliki gelar sarjana dan hukum dari Michigan. McQuade mengatakan membantu siswa liberal saat ini mengembangkan pemahaman yang mendalam tentang sistem hukum ""tidak pernah lebih penting."" Dia adalah kepala penuntut federal di Michigan timur selama tujuh tahun, setelah 12 tahun sebagai asisten pengacara AS. Administrasi Trump pekan lalu mengatakan kepada pengacara AS yang ditunjuk oleh Presiden Barack Obama untuk mundur."	Fake
