Domain	Topic	News	Label
Entertainment	Rapper Wiz Khalifa sparks outrage for visit to Pablo Escobar's grave	American rap artist Wiz Khalifa has kicked up quite the controversy on his visit to Colombia. During a trip to perform at a festival in Medellin  the celebrity posted pictures to his Instagram account of him apparently paying tribute to the late Colombian drug lord Pablo Escobar. The rapper posted one photo of colorful flowers at the grave's headstone. Wiz Khalifa also posted several photos of him smoking what appears to be marijuana near Escobar's grave  as well as a picture of him posing outside of a property -- site of a bombing and attempt on Escobar's life in the '80s -- formerly owned by the drug lord  who died in a shootout with authorities in Medellin in 1993.	Legit
Entertainment	We all know why the right is angry at Tomi Lahren	"Conservative darling-turned-pariah Tomi Lahren is getting a crash course on what the right thinks of women. Lahren  a 24-year-old known for her video monologues delivered in a brash  self-aggrandizing tone  rose to quick prominence within right-wing media. She's young  blond  opinionated and conservative  and unafraid to use sex appeal as a cudgel. ""It seems feminists are all about freedom of expression so long as the females are overweight or transgender  she says in one video. Being a young, attractive, conservative woman also gave her cover to make the kind of startlingly cruel comments that would have sunk other careers -- suggesting, for example, that Syrian refugees fleeing for their lives (and the lives of their children) were cowards who wouldn't stay to defend their country. Americans stand up and fight for faith  family and freedom  reads the text overlaid on an image of herself, which she tweeted. Syrians run away."""	Legit
Entertainment	"""Walking Dead"" star Lauren Cohan says cast holds ""Death Dinners"""	"Lauren Cohen, star of AMC's ""Walking Dead"" says that her cast members have a unique way of bonding. ""We like to have fake funerals for our fellow cast members. We pretend they aren't in the room and say share memories, jokes and reminesce about the person. IYou could say we have a sick sense of humor."""	Fake
Entertainment	Katy Perry pays tribute to fan killed in an auto accident	"Katy Perry has paid special tribute to an 18-year-old superfan who died in a car accident. According to ABC affiliate KTBS-TV in Shreveport  Louisiana  18-year-old Katie Bell died this past weekend when she lost control of her car and collided head-on with another vehicle. The other driver was also killed. ""We see you angel and we love and will miss you  Perry tweeted on Tuesday morning. KC's  light a candle for Katie. Rest In Peace."" She included one of Bell's videos in her tweet. News of Bell's death apparently inspired the hashtag #RIPKatycatKatie -- Perry fans call themselves ""KatyCats"" -- and Perry herself took notice. To further honor Bell  Perry changed her name on her Twitter profile to Bell's hashtag."	Legit
Entertainment	 Michelle Pfeiffer says she's 'more open' to work now that her children are grown	"Michelle Pfeiffer is juggling a much busier schedule these days. Speaking with director Darren Aronofsky for Interview magazine  she said her Hollywood career was put on the back burner after she had children  but she's now ready to get back in the game. ""I've never lost my love for acting. I feel really at home on the movie set. I'm a more balanced person honestly when I'm working  Pfeiffer told Aronofsky. But I was pretty careful about where I shot  how long I was away  whether or not it worked with the kids' schedule. And I got so picky that I was unhirable."" She's now an ""empty nester  she said; her daughter Claudia Rose Pfeiffer is 24 and son John Henry Kelley is 22. This has given her the ability to take on more roles. This year, she'll be seen in HBO's The Wizard of Lies"" alongside Robert De Niro  Aronofsky's ""Mother!"" and an adaptation of Agatha Christie's ""Murder on the Orient Express  which will also star Johnny Depp, Josh Gad and Penelope Cruz. She also starred in the indie film Where Is Kyra?"" which premiered earlier this year."	Legit
Entertainment	Burn Baby Burn! George Michael portrait bought at auction by Anti-Gay Orlando Baptist Protesters goes up in flames!	" Like the Westboro Baptists, the Orlando Baptist group couldn't pass up a chance to dance on a gravestone. A portrait of the late George Michael by artist Damien Hirst has sold for just under half a million pounds at a charity auction last week by the group, who promptly set it on fire as the centerpiece to their hate bonfire. An apparent protest over the late singers death and glorification was staged directly opposite the street from the late singers public memorial. ""Once a flamer always a flamer"" read one sign. But George Michael may have gotten the last laugh in an ironic twist the church not only bought the painting but were unaware the money was going not in the gallery of Mr. Hirsts deep pockets but instead The money raised from the sale of Beautiful Beautiful George Michael Love Painting will go to HIV/Aids charity The Goss-Michael Foundation. The charity was founded by Michael and his former partner Kenny Goss. Goss posted an image of the artwork on Instagram writing: ""Amazing result of $580 000 (around £461 011)."" He described Damien Hirst as a ""superstar"" adding: ""Thank you Damien!"" The canvas went under the hammer in Dallas Texas at the MTV Re:define charity gala. Michael who enjoyed a lucrative pop career as one half of duo Wham before embarking on a successful solo career died on Christmas Day last year at the age of 53."""	Fake
Entertainment	Bill O'Reilly apologizes after making racially charged joke about congresswoman	"Fox News host Bill O'Reilly apologized Tuesday after coming under fire for mocking a black congresswoman's hair. During an appearance on ""Fox & Friends  O'Reilly reacted to a clip of Rep. Maxine Waters (D-CA) delivering a speech on the floor of the House of Representatives. I didn't hear a word she said  O'Reilly said of Waters. I was looking at the James Brown wig."" ""If we have a picture of James Brown -- it's the same wig  he added. The remarks were widely denounced as both racist and sexist on Twitter, where O'Reilly's name was trending Tuesday morning and afternoon. In a statement Tuesday afternoon, O'Reilly expressed regret for the remarks. As I have said many times  I respect Congresswoman Maxine Waters for being sincere in her beliefs  he said. I said that again today on Fox & Friends calling her 'old school.' Unfortunately  I also made a jest about her hair which was dumb. I apologize."""	Legit
Entertainment	Chris Pratt responds to body shamers telling him he is gaunt and sickly looking	Big or small Chris Pratt has definitely heard it all, the Guardians of the Universe star 37 is not taking the latest rumors that he is sickly lying down.  Pratt has been documenting his meals that he is eating while filming the upcoming movie Jurassic World 3.  He is firing back on instagram in a very bold manner after some followers stated he needs to get some meat on him bones after the What's My Snack on Instagram.   Some stated he looks like a skeleton and needs help fast.  Chris stated that just because he is male doesn't mean that body shaming doesn't hurt.	Fake
Entertainment	 Alec Baldwin says he nearly passed on playing Donald Trump on 'SNL'	"Alec Baldwin has revealed that he almost passed on playing Donald Trump on ""Saturday Night Live."" The actor told Vanity Fair for its April cover story that he originally passed on ""SNL"" producer Lorne Michaels' offer to play Trump but changed his mind after a film role fell through. ""I was supposed to do a film. And the people who were doing the film were supposed to escrow money to guarantee that I would get paid  he said in a video accompanying the cover story. And they didn't put the money in escrow. And that's when I hung up and said I'm not going to go do the movie and I'm going to go do the thing with Lorne. And I think to myself  'What if I hadn't done that?' ... It's turned out to be this incredible opportunity."" Baldwin's impression has been so popular that he has parlayed it into an upcoming satirical book and made his record 17th appearance as host of ""SNL"" earlier this year. He talks about playing Trump  working with ""SNL"" stars Kate McKinnon and Tina Fey  and starring in the best role of his life in his new memoir ""Nevertheless  due out next month. Vanity Fair published an exclusive excerpt."	Legit
Entertainment	Ex-Fox News CFO will not have immunity in Roger Ailes investigation	"""The federal investigation stemming from sexual harassment allegations made against former Fox News chief Roger Ailes took a dramatic turn on Tuesday with a report that prosecutors will deny any immunity to the Fox News CFO. Mark Kranz Fox News' chief financial officer until his retirement last August has been offered immunity from prosecution in exchange for his cooperation with the investigation two sources with knowledge of the matter confirmed to CNNMoney.  However, these offers have been pulled after the CFO refused to show at court dates. The investigation centers on questions about whether 21st Century Fox misled investors by hiding payments to Fox News employees who alleged that they were sexually harassed by Ailes. As CFO Kranz was directly involved in preparing the company's financial statements and is thus potentially a key witness in the investigation the sources said. Kranz's lawyer declined to comment on the matter. Spokespeople for the Department of Justice and the U.S. Attorney's Office for the Southern District of New York which is handling the investigation also declined to comment."""	Fake
