text,target,language,Domain,split
"कैलिफ़ोर्निया यूफोल्ड्स ऑटो उत्सर्जन मानक ट्रम्प के साथ फेस-ऑफ की स्थापना ""कैलिफोर्निया की स्वच्छ-वायु एजेंसी ने शुक्रवार को ग्रह-वार्मिंग गैसों को कम करने के लिए राज्य की योजना पर ट्रम्प प्रशासन के साथ संभावित कानूनी लड़ाई की स्थापना के लिए कारों और ट्रकों के लिए सख्त उत्सर्जन मानकों के साथ आगे बढ़ने के लिए मतदान किया। वोट कैलिफ़ोर्निया एयर रिसोर्स बोर्ड द्वारा राष्ट्रपति ट्रम्प के एजेंडे पर खड़े होने की कैलिफ़ोर्निया की योजना का अभी तक का सबसे निर्भीक संकेत है। राज्य में कई महापौरों से लेकर नीचे तक के राजनेताओं ने श्री ट्रम्प की नीतियों के प्रतिरोध का नेतृत्व करने का वादा किया है। पर्यावरण संबंधी चिंताओं पर उद्योग ने कहा कि उत्सर्जन नियमों को आसान बनाने से ऑटो विनिर्माण को प्रोत्साहित करने में मदद मिलेगी। उन्होंने पिछले सप्ताह नियमों को ढीला करने की कसम खाई थी। वाहन निर्माता सख्त मानकों का समर्थन करने के वर्षों के बाद आक्रामक रूप से उन परिवर्तनों का पीछा कर रहे हैं।",0,Hindi,Business,train
"ब्रूडॉग ने नाम में 'पंक' के साथ बार के लिए योजना के खिलाफ मुकदमा चलाने की धमकी दी ब्रूडॉग ने अपने नाम में ""पंक"" शब्द का उपयोग करने से एक बार को रोकने के लिए कानूनी कार्रवाई की धमकी दी, यह शराब बनाने वाले द्वारा ""ट्रिग-हैप्पी"" वकीलों को एक समान विवाद के लिए दोषी ठहराए जाने के एक दिन बाद सामने आया है, जिसने एक सोशल मीडिया बैकलैश को जन्म दिया। शराब बनानेवाला जो बड़े निगमों के व्यवहार का एक मुखर आलोचक रहा है, उसने ड्राफ्ट पंक नामक लीड्स में एक बार खोलने के लिए संगीत प्रमोटर टोनी ग्रीन द्वारा योजनाओं पर आपत्ति जताई। ग्रीन जो कहते हैं कि नाम फ्रांसीसी नृत्य संगीत अधिनियम दफ्त पंक के लिए एक जीभ-इन-गाल संदर्भ था, ने कहा कि ""डराने धमकाने"" धमकी ने पंक आंदोलन की भावना को भंग कर दिया है जो कि ब्रूडॉग एस्पोस का दावा करता है।",0,Hindi,Business,train
"यूरोपीय संघ Applauds Deutsche Boerse के लंदन स्टॉक एक्सचेंज के 14 बिलियन अधिग्रहण ""यूरोपीय संघ के नियामकों ने लंदन स्टॉक एक्सचेंज ग्रुप पीएलसी के ड्यूश बूर्स एजी के नियोजित अधिग्रहण की सराहना की। यूरोपीय संघ-ब्रिटेन एकीकरण पर प्रतीकात्मक स्वीकृति उसी दिन ब्रिटेन ने यूरोपीय संघ छोड़ने के अपने फैसले की औपचारिक रूप से सेवा की। यूरोप का सबसे बड़ा एक्सचेंज बनाने के लिए 14 बिलियन का सौदा। यूरोपीय आयोग ने बुधवार को एक ईमेल बयान में कहा कि बॉन्ड को साफ करने और पुनर्खरीद समझौतों के लिए एक वास्तविक तथ्य की अवहेलना कर जल्द ही 27-राष्ट्रों के यूरोपीय संघ में पालक प्रतियोगिता ने फैसला लिया। एलएसई थ्वोइस ड्यूश बूर्स के पांच साल बाद ही पिछले महीने के फैसले को हरी झंडी दिखाई गई। यूरोपीय संघ ने NYSE यूरोनेक्स्ट के साथ एक प्रस्तावित टाई-अप को भी स्वीकार कर लिया। ""आयोग इन सौदों की अनुमति देता है, यूरोपीय संघ के एंटीट्रस्ट कमिश्नर मार्ग्रेट वेस्टेगर ने ब्रुसेल्स में संवाददाताओं से कहा। LSE तैयार नहीं था ""एक छोटी इकाई को बेचने के लिए जिसने चिंताओं को दूर किया होगा कि संयुक्त फर्म प्रतिद्वंद्वी एवोनेक्स्ट एनवी को कमजोर कर सकती है। यूरोपीय संघ के नियामकों ने बड़े सौदों पर तेजी से स्वीकार कर लिया है, जो एक संयुक्त फर्म पर हावी हो सकते हैं। एक उद्योग और कीमतों में वृद्धि। हालांकि, यह दूसरी बार है कि वेस्टेगर ने औपचारिक रूप से एक विलय को स्वीकार कर लिया है, जो कई लेनदेन को विरोधी विरोध पर खाई में डाल दिया है। """,1,Hindi,Business,train
"नए टैक्सी कानूनों पर डेनमार्क ऑपरेशन को बंद करने के लिए उबर Uber ने अगले महीने डेनमार्क में अपना संचालन बंद कर दिया है, कंपनी ने नए टैक्सी कानूनों की शुरूआत के बाद कहा है कि अमेरिकी सवारी बुकिंग सेवा के लिए नवीनतम यूरोपीय झटके को चिह्नित करना। एक कंपनी के प्रवक्ता क्रिस्टियन एगेरो ने मंगलवार को कहा कि उबर ने नियमों के ""परिणामों को लेना चाहिए"" जिसमें अन्य चीजों के अलावा सीट अधिभोग सेंसर और किराया मीटर के साथ कैब की आवश्यकता होगी। उबेर ने मैड्रिड फ्रैंकफर्ट पेरिस और लंदन सहित शहरों में समस्याओं का सामना किया है और न्याय के यूरोपीय अदालत के फैसले का इंतजार कर रहा है जो यह निर्धारित कर सकता है कि यह कैसे इस महाद्वीप पर विनियमित है: एक परिवहन सेवा या एक डिजिटल प्लेटफॉर्म के रूप में।",0,Hindi,Business,train
"अमेरिकन एयरलाइंस ने चीन दक्षिणी के साथ साझेदारी की अमेरिकन एयरलाइंस और यात्रियों द्वारा चीन के सबसे बड़े वाहक चीन दक्षिणी ने एक रणनीतिक साझेदारी पर सहमति व्यक्त की है। अमेरिकी एयरलाइन चीनी फर्म में 200 मीटर (£ 159 मीटर) के शेयर खरीदेगी और दोनों ""सहयोग बढ़ाने की कोशिश"" करेंगे। चीन दक्षिणी मुख्य भूमि के बाहर से एक निवेशक को लाने के लिए चीन की शीर्ष एयरलाइनों में नवीनतम है। इस सौदे को अमेरिकी एयरलाइंस को चीन के बढ़ते विमानन बाजार में टैप करने की अधिक संभावनाएं प्रदान करनी चाहिए। चीन, चीन के वाहकों के साथ अमेरिका में पर्यटकों के सबसे बड़े स्रोतों में से एक है, जो यात्री संख्या में मजबूत वृद्धि को पूरा करने के लिए अपने बेड़े और विदेशी गंतव्यों की सीमा का आक्रामक रूप से विस्तार कर रहा है।",0,Hindi,Business,train
"एक कार्यकारी आदेश में राष्ट्रपति ट्रम्प ने सुरक्षा उपायों को मजबूत किया, जो इंटरनेट कंपनियां अन्य संस्थाओं के साथ साझा कर सकती हैं। सदन में, रिपब्लिकन ने सख्ती से मतदान किया कि क्या साझा किया जा सकता है। Verizon, Facebook, Google और अन्य जैसी कंपनियाँ अब प्रभावित लोगों के बीच चेक इन, सामाजिक सुरक्षा संख्या, ब्राउज़िंग इतिहास जैसी जानकारी साझा नहीं कर सकती थीं। यह ग्राइंडर जैसी साइटों पर चिकित्सा आंकड़ों के सार्वजनिक मंच पर साझा करने पर भी प्रतिबंध लगाता है, जो सदस्यों को यह बताने के लिए पूछते हैं कि क्या वे एचआईवी पॉजिटिव हैं और हेप सी। यह जानकारी अब सूचीबद्ध नहीं है, क्योंकि यह HIPPA मानकों का उल्लंघन करता है। ली से-डॉल विश्व में सबसे जटिल बोर्ड गेम ""गो"" में विश्व चैंपियन है। शनिवार को, Se-dol का सबसे नया चैलेंजर Google का दीपमाइंड कंप्यूटर AlphaGo था, जो दुनिया का सबसे उन्नत कृत्रिम बुद्धिमत्ता वाला कंप्यूटर है। सी-डॉल ने दो घंटे के मैच के बाद मशीन को हराया। गूगल डीपमाइंड के सीईओ डेनिस हसबिस ने अल्फा गो की हार के बाद टिप्पणी की। ""हम अपने सुपर कंप्यूटर की उम्मीद करते हुए यहां आए थे जो कई बार तेजी से गणना कर सकता है फिर कोई भी इंसान आसानी से ली को हरा देगा। ली की जीत से हम काफी हैरान थे। ऐसा प्रतीत होता है कि हमारे पास मानव अंतर्ज्ञान को दोहराने के लिए एक लंबा रास्ता है जो अभी तक कोई भी कंप्यूटर सक्षम नहीं है। नकल बनाना।""",1,Hindi,Business,train
"यूरोपीय संघ ने लंदन स्टॉक एक्सचेंज के ड्यूश बूर्स के 14 बिलियन अधिग्रहण को रोक दिया यूरोपीय संघ के नियामकों ने डॉयचे बर्स एजी के लंदन स्टॉक एक्सचेंज ग्रुप पीएलसी के योजनाबद्ध अधिग्रहण को अंतिम झटका दिया, जो उसी दिन ब्रिटेन के यूरोपीय संघ-ब्रिटेन एकीकरण पर एक प्रतीकात्मक ब्लॉक था, जो औपचारिक रूप से यूरोपीय संघ को छोड़ने के अपने निर्णय की सूचना देता है। यूरोपियन कमीशन ने बुधवार को एक ईमेल बयान में कहा कि यूरोप के सबसे बड़े एक्सचेंज को बनाने के लिए 14 बिलियन के सौदे ने बॉन्ड क्लीयर करने और पुनर्खरीद समझौतों के लिए वास्तविक तथ्य एकाधिकार बनाकर जल्द ही 27 देशों के यूरोपीय संघ में प्रतिस्पर्धा को नुकसान पहुंचाया होगा। पिछले महीने एलएसई के दावों के बाद ड्यूश बोर्स के विस्तार के फैसले को हरी झंडी मिल गई जब यूरोपीय संघ ने NYSE यूरोनेक्स्ट के साथ प्रस्तावित टाई-अप पर प्रतिबंध लगा दिया। ""आयोग एकाधिकार के निर्माण की अनुमति नहीं दे सकता है और इस मामले में ऐसा ही हुआ होगा, यूरोपीय संघ के एंटीट्रस्ट कमिश्नर मार्ग्रेट वेस्टेगर ने ब्रुसेल्स में संवाददाताओं से कहा। एक छोटी इकाई को बेचने के लिए एलएसई तैयार नहीं था"" जो संयुक्त चिंताओं को दूर करेगा। फर्म प्रतिद्वंद्वी Euronext NV को कमजोर कर सकती है। यूरोपीय संघ के नियामकों ने बड़े सौदों पर तेजी से सख्त हो गए हैं, जो एक संयुक्त उद्योग पर हावी हो सकते हैं और कीमतों में वृद्धि कर सकते हैं चिंताओं के बीच वजनदार रियायतों को खत्म करने की मांग की है। जबकि यह दूसरी बार है कि वेस्टेगर ने औपचारिक रूप से एक विलय को अवरुद्ध कर दिया है, जो विरोधी लेनदेन पर कई लेन-देन खोदे गए हैं।",0,Hindi,Business,train
"सोने की कीमत आज गिर गई, इंक्रीमेंटम एजी के मैनेजिंग पार्टनर रोनाल्ड-पीटर स्टोफर के अनुसार। जैसा कि बाजार की ओर इशारा किया गया है, सोना एक बड़ी गिरावट और 1500 औंस तक गिरने की उम्मीद है। गिरावट से बचने के प्रयास में, अग्रणी प्रबंधकों ने एचएसएन, ई-बेल, और निश्चित रूप से QVC जैसे टीवी शॉपिंग नेटवर्क पर रॉक बॉटम कीमतों पर सोना बेचने की योजना बनाई है। क्रेडिट या डेबिट कार्ड से कॉल करने वाले 19.99 के महज 6 आसान मासिक भुगतान के लिए औंस द्वारा गोल्ड में कॉल और खरीद सकेंगे। और जब कोई व्यक्ति कॉल करता है, तो उन्हें दूसरा औंस भी मुफ्त मिलेगा, बस एक अतिरिक्त 1999 शिपिंग और हैंडलिंग का भुगतान करें। मंगलवार को, यूएस और ब्रिटिश खुफिया ने खुफिया जानकारी का हवाला दिया कि आईएसआईएस रंगरूटों को विस्फोटक ट्रिगर के रूप में उपकरणों की बैटरी का उपयोग करते हुए विस्फोटक उपकरणों में लैपटॉप कंप्यूटर और टैबलेट को रिग करने के लिए प्रशिक्षित किया गया है। नया विस्फोटक प्रमुख हवाई अड्डों पर सुरक्षा सावधानी बरतने के लिए अवांछनीय है। खुफिया इंगित करता है कि विस्फोटक उपकरणों को उड़ान में मैन्युअल रूप से सक्रिय किया जाना चाहिए। हवाई यात्रियों के लिए इस खतरे का हवाला देते हुए, अमेरिका और ब्रिटिश अधिकारियों ने मंगलवार को सभी देशों से उड़ानों पर सामान ले जाने से लेकर लैपटॉप और टैबलेट जैसे इलेक्ट्रॉनिक उपकरणों पर प्रतिबंध लगाने की घोषणा की। राष्ट्रपति डोनाल्ड ट्रम्प ने कहा, ""प्रतिबंध तब तक रहेगा जब तक हम सामान का सही तरीके से पता नहीं लगा लेते।""",1,Hindi,Business,train
"एलेक्स जोन्स ने 'पिजैगेट' के प्रचार के लिए माफी मांगी एलेक्स जोन्स एक प्रमुख षड्यंत्र सिद्धांतकार और एक लोकप्रिय दक्षिणपंथी रेडियो शो के मेजबान ने पिज़ैगेट के रूप में पहचाने जाने वाले होक्स को फैलाने और बढ़ावा देने में मदद करने के लिए माफी मांगी है। श्री जोन्स द्वारा शुक्रवार को ""द एलेक्स जोन्स शो"" के मेजबान और वेबसाइट Infowars के संचालक हड़ताली थे। इसके अलावा पिजैगेट षड्यंत्र के सिद्धांत को बढ़ावा देने के लिए उन्होंने कहा है कि संयुक्त राज्य अमेरिका सरकार द्वारा किए गए नौकरियों के अंदर 11 हमले हुए थे और 2012 में न्यूटाउन कॉन में सैंडी हुक एलीमेंट्री स्कूल में शूटिंग की गई थी। दूसरा साँसोधन। पीजैगेट सिद्धांत, जिसमें कोई सबूत नहीं था कि शीर्ष लोकतांत्रिक अधिकारी वाशिंगटन डीसी में धूमकेतु पिंग पॉन्ग पिज्जा रेस्तरां के आसपास केंद्रित शैतानी बाल पोर्नोग्राफ़ी रिंग के साथ शामिल थे, अपने जोन्स के शो से अधिक दृश्यमान स्थानों के लिए अपना रास्ता बनाने से पहले ऑनलाइन मंचों में बढ़े थे। और चुनाव के बाद इसकी प्रमुखता ने झूठे और भ्रामक समाचारों के प्रसार पर ध्यान आकर्षित किया, जिनमें से अधिकांश ने राजनीतिक रूप से आरोप लगाया कि फेसबुक ट्विटर और यूट्यूब जैसे प्लेटफार्मों पर प्रसारित किया गया।",0,Hindi,Business,train
"इंटरनेशनल एयर ट्रांसपोर्ट एसोसिएशन के मुख्य कार्यकारी अलेक्जेंड्रे डी जूनियाक ने कहा है कि यात्रियों के सर्वेक्षण और मतदान के बाद, हर किसी को यह समझ में आता है कि केबिन के उपयोग के लिए लैपटॉप पर प्रतिबंध भयानक है। स्टीव हार्वे, जिन्हें IATA द्वारा नियुक्त किया गया था, ने सर्वेक्षण किया और इंटेल को इकट्ठा किया। डेल्टा, पैन एम, और दक्षिण पश्चिम जैसे प्रमुख एयर कैरियर ने टिकटों की बिक्री को नई ऊंचाइयों पर देखा है। प्रत्येक प्रवक्ता ने कहा कि लोग बहुत खुश थे और एक बेहतर उड़ान अनुभव की सूचना दी और यात्रियों ने अपने अनुभव के बारे में अधिक सांप्रदायिक महसूस किया। लोगों को वास्तव में कुकीज़ और दूध और अच्छे पुराने कार्टून के लिए जवाब देना अच्छा लगता है। अब सभी अंतरराष्ट्रीय उड़ानों के लिए उड़ान पर काम आने वाली कुकीज़ में एडिबल्स होते हैं और चालक दल की रिपोर्ट होती है कि अधिकांश यात्री खाते हैं, कार्टून देखते हैं, और फिर उड़ान के अधिकांश हिस्से को सोते हैं। एक अभिनेत्री के रूप में प्रसिद्धि के बावजूद, एम्मा थॉम्पसन कभी लॉस एंजिल्स नहीं गईं, जहां हॉलीवुड के कुलीन वर्ग काम करते हैं और गेटेड समुदायों में महंगे घर खरीदते हैं। क्यों? क्योंकि उसे लगा कि वह बहुत मोटी है। स्वीडिश टेलीविजन पर एक साक्षात्कार के दौरान, थॉम्पसन ने कहा: ""यह एक अजीब जगह है, और मैं अभी वहां नहीं रह सकता।"" वह बताती हैं कि कई अभिनेत्रियों का वजन कम होने के कारण निर्माता लगातार उन्हें हग कर रहे हैं। युवा महिलाओं के पास सुंदर आंकड़े होंगे, और निर्माता अभी भी मांग करेंगे कि उनका वजन कम हो। वे बस इसलिए नहीं खाते हैं ताकि वे काम पा सकें। थॉम्पसन ने कहा कि उसने सह-कलाकार को वजन कम करने का आदेश दिए जाने पर फिल्म ब्रिजेश रेविस्ड को छोड़ने की धमकी दी। उन्होंने कहा कि प्रोड्यूसर फैट शेमिंग अब बच्चों और लड़कों के लिए भी निर्देशित किया जा रहा है और पुरुष इम्यून नहीं हैं। वसा का हिलना तब तक जारी रहता है जब तक कि एक तारा उनके 30 में नहीं होता। तब तक कई लोगों ने स्थायी खाने के विकार विकसित कर लिए हैं।",1,Hindi,Business,train
