Domain	Topic	News	Label
Celebrity		Does Drake's New Single Mean He's Already Done  ith His Most Recent Album?	Legit
Celebrity	Angelina Jolie & Amal Alamuddin: It's  ar!	 hen George and Amal Clooney celebrated their wedding for a second time on Oct. 25, there was once again two very noticeable guests missing - Brad Pitt and Angelina Jolie were nowhere to be seen!	Fake
Celebrity	A Thing For Blondes? Brad Pitt Is Ready To Move On  ith Margot Robbie	Is Brad Pitt back to blondes? Shortly after his split with Angelina Jolie, rumors swirled about Pitt’s on-set chemistry with Allied actress Marion Cotillard. Linked to many of his co-stars throughout his long career, including his soon-to-be ex, it’s no wonder Jolie wasn’t keen to have him work with blonde bombshell, Margot Robbie. A source exclusive to OK! reports, “He thinks she’s the hottest girl in Hollywood right now.” According to the source, the 41 year old actor and President of Plan B Films has “tried to woo her for numerous movie projects. This was a sore subject with Angie who blocked them from working together a few times. Now he’s single again you can expect Brad to go after Margot with a passion.” And who could blame him? The 26 year old Australian beauty has been dubbed “the new Angelina Jolie,” stirring fear in the hearts of celebrity wives. She has her own reputation for on-set chemistry with married actors including  ill Smith.  ith hot and heavy sex scenes and photos surfacing of them looking cozy off camera, Smith himself had to address the rumors on twitter, “It’s disappointing that goofing around on set could be taken so out of context.”	Fake
Celebrity	Tom Hiddleston Stunned Taylor Swift Referenced Him On New Album: Here’s  hy	 hile most of the people who are or were in Taylor Swift’s life most likely knew they’d be called out on her album, Tom Hiddleston thought he was safe! But, is ex mentioned him in T O tracks! Here’s what he thinks …	Fake
Celebrity	JENNIFER ANISTON HINTS AT FRIENDS REUNION	"Jennifer Aniston is making Friends fans very happy! The actress hinted she would be open to appearing in a reunion of the hit NBC show. ""The only thing I can think of doing is maybe for fun doing a Thanksgiving episode,"" Aniston said on a British talk show. However, a spokeswoman for  arner Bros., the studio that produced Friends, told the New York Post that there has been no preliminary discussions about a Friends reunion show."	Fake
Celebrity	Lindsay Lohan: Starlet Lusting After Vladimir Putin!	"LiLo's suddenly aimed her fiery eyes at ""Kremlin Krotch,"" telling pals she's gonna bed and wed notorious Soviet strongman Vladimir Putin - and then be officially crowned ""Princess Pootie-Tang of Russia!"""	Fake
Celebrity	Scientology Showdown! Katie Holmes & Jenna Elfman Caught In Awkward 'GMA' Run-In	For once, the drama at Good Morning America wasn't involving Robin Roberts and her new arch-nemesis, Michael Strahan.	Fake
Celebrity	Kanye  est  ants to Enter Cosmetics Business Like Kylie	Kanye  est wants to go head-to-head with his famous sister-in-law ... diving head first into the cosmetic biz dominated by Kylie Jenner.	Fake
Celebrity	Dancing with the Stars 2017 Cast Includes Charo, Bonner Bolton, Heather Morris & More!	" ho's on Dancing with the Stars? Let's find out! The new Dancing with the Stars 2017 cast was announced on Good Morning America! The Season 24 contestants debuted on the Season Premiere, which also marked the 400th episode of Dancing with the Stars. The show airs MONDAYS 8|7c on ABC. This season's lineup includes Bonner Bolton, Mr. T, Olympians Simone Biles and Nancy Kerrigan, Heather Morris and the original ""Cuchi-Cuchi"" girl, Charo, just to name just a few. Check out the full Dancing with the Stars cast below after you enjoy the amazing opening number from the Season 24 Premiere!"	Legit
Celebrity	Kirsten Dunst explains why she was crying on the Cannes 2017 red carpet	Kirsten Dunst was spotted mysteriously crying on the red carpet at this year’s Cannes Film Festival, and now it seems we have an explanation to the sudden outburst.	Legit
Celebrity	Inside Beyoncé's baby shower	Don't act like you didn't know Beyoncé was going to shut it down when it came to her baby shower.	Legit
Celebrity	Prince - The Truth Behind His Drug Overdose	"As The ENQUIRER reported, Prince had been diagnosed with HIV, the virus that causes AIDS, in the 1990s. The Jehovah's  itness chose not to fight the deadly disease with medications due to his faith, believing ""God will save me!"" Six months ago, he was told by doctors he had full-blown AIDS and had just six months to live, sources said. ""He couldn't take the pain the disease was causing him in its last stages,"" an insider told The ENQUIRER. ""And he didn't want to just slowly waste away!"""	Fake
Celebrity	Blake Lively on  omen in Hollywood, Directing and Possible ‘Gossip Girl’ Reunion	As one of Variety’s Power of  omen honorees, Blake Lively will attend a lunch on Friday in support of Child Rescue Coalition. For this week’s issue, the actress spoke about women in Hollywood, shooting in New York for “Gossip Girl,” and what she looks for in a role.	Legit
Celebrity	Nicole Kidman Finally Admits To Botox	As far as we can tell, Botox tops the list of celebrity guilty pleasures: Everybody does it, but nobody talks about it. Except Nicole Kidman, that is.	Legit
Celebrity	Tom Cruise awkwardly swerves question about daughter Suri	Tom Cruise politely responded to a question about daughter Suri at his Mummy premiere last night, but didn't appear comfortable enough talking about her to elaborate on the answer.	Legit
Celebrity	Yes, Kim Kardashian And Kanye  est Are Signing A Prenup, But Guess  ho Is  orth More	The fact that Kim Kardashian and Kanye  est plan to sign a prenuptial agreement probably won't come as a surprise to many, but recent claims on who is worth more probably will.	Legit
Celebrity	Caitlyn Jenner: false rumors around her, her strained family ties and her candid memoir! Read on it here! –	RadarOnline published a story about Caitlyn claiming that the transgender reality TV star and former decathlete is going online to explore her sexuality and has been enjoying a number of secret ‘cyber hookups’. The definition of ‘hookups’ has not been clarified in the story. But the report states that Caitlyn Jenner has been into online romances without any offline interactions with the clients. The tabloid has quoted an insider as saying:	Legit
