Domain	Topic	News	Label
Entertainment	Rapper Wiz Khalifa memicu kemarahan karena mengunjungi makam Pablo Escobar	Artis rap Amerika, Wiz Khalifa, telah memicu kontroversi tentang kunjungannya ke Kolombia. Selama perjalanan untuk tampil di sebuah festival di Medellin, selebriti itu memposting foto-foto ke akun Instagram-nya tentang dia yang tampaknya memberikan penghormatan kepada mendiang raja obat bius Kolombia Pablo Escobar. Rapper memposting satu foto bunga berwarna-warni di nisan kuburan. Wiz Khalifa juga memposting beberapa foto dia sedang merokok apa yang tampak seperti mariyuana di dekat kuburan Escobar dan juga foto dia berpose di luar sebuah properti - sebuah lokasi pemboman dan upaya kehidupan Escobar di tahun 80-an - yang sebelumnya dimiliki oleh raja obat bius yang tewas dalam baku tembak dengan pihak berwenang di Medellin pada tahun 1993.	Legit
Entertainment	Kita semua tahu mengapa orang benar marah pada Tomi Lahren	"Sayang konservatif yang berubah menjadi paria, Tomi Lahren mendapatkan kursus singkat tentang apa yang benar pikirkan tentang wanita. Lahren, 24 tahun, yang dikenal karena video monolognya, yang tampil dengan nada merendahkan diri, meningkat pesat di media sayap kanan. Dia muda berambut pirang berpendapat dan konservatif dan tidak takut untuk menggunakan daya tarik seks sebagai gada. ""Tampaknya kaum feminis semua tentang kebebasan berekspresi selama perempuan kelebihan berat badan atau transgender,"" katanya dalam satu video. Menjadi seorang wanita muda, menarik, konservatif juga memberikan kedoknya untuk membuat komentar mengejutkan yang kejam yang akan menenggelamkan lainnya. karir - menyarankan, misalnya, bahwa pengungsi Suriah yang melarikan diri untuk kehidupan mereka (dan kehidupan anak-anak mereka) adalah pengecut yang tidak akan tinggal untuk membela negara mereka. Orang Amerika berdiri dan berjuang untuk keluarga beriman dan kebebasan membaca teks yang disandingkan pada gambar dirinya, yang dia tweet. Suriah melarikan diri. """	Legit
Entertainment	"Bintang ""Walking Dead"" Lauren Cohan mengatakan para pemeran memegang ""Death Dinners"""	"Lauren Cohen, bintang AMC ""Walking Dead"" mengatakan bahwa anggota pemerannya memiliki cara ikatan yang unik. ""Kami suka mengadakan pemakaman palsu untuk sesama anggota pemeran kami. Kami berpura-pura tidak ada di ruangan dan mengatakan berbagi kenangan, lelucon, dan kenangan tentang orang itu. IYou bisa mengatakan kami memiliki selera humor yang buruk."""	Fake
Entertainment	Katy Perry membayar upeti kepada penggemar yang tewas dalam kecelakaan mobil	"Katy Perry telah memberikan penghormatan khusus kepada seorang superfan berusia 18 tahun yang meninggal dalam kecelakaan mobil. Menurut afiliasi ABC, KTBS-TV di Shreveport Louisiana, Katie Bell yang berusia 18 tahun meninggal akhir pekan lalu ketika dia kehilangan kendali atas mobilnya dan bertabrakan dengan kendaraan lain. Pengemudi lainnya juga terbunuh. ""Kami melihatmu malaikat dan kami mencintaimu dan akan merindukanmu, Perry mentweet pada hari Selasa pagi. KC menyalakan lilin untuk Katie. Istirahat Dengan Damai."" Dia memasukkan salah satu video Bell dalam tweetnya. Berita kematian Bell tampaknya menginspirasi tagar RIPKatycatKatie - penggemar Perry menyebut diri mereka ""KatyCats"" - dan Perry sendiri memperhatikan. Untuk lebih menghormati Bell Perry mengubah namanya di profil Twitter-nya menjadi tagar Bell."	Legit
Entertainment	Michelle Pfeiffer mengatakan dia 'lebih terbuka' untuk bekerja sekarang karena anak-anaknya sudah dewasa	"Michelle Pfeiffer adalah juggling jadwal yang jauh lebih sibuk hari ini. Berbicara dengan sutradara Darren Aronofsky untuk majalah Interview, dia mengatakan karirnya di Hollywood dibakar setelah dia punya anak, tetapi dia sekarang siap untuk kembali bermain. ""Aku tidak pernah kehilangan cintaku untuk berakting. Aku merasa betah di set film. Aku orang yang lebih seimbang jujur ketika aku bekerja, Pfeiffer mengatakan pada Aronofsky. Tapi aku cukup berhati-hati di mana aku menembak berapa lama aku menembak jauh apakah itu sesuai dengan jadwal anak-anak. Dan aku menjadi sangat pemilih sehingga aku tidak bisa diganggu gugat. "" Dia sekarang adalah ""nester kosong katanya, putrinya Claudia Rose Pfeiffer berusia 24 dan putranya John Henry Kelley adalah 22. Ini telah memberinya kemampuan untuk mengambil peran lebih banyak. Tahun ini, dia akan terlihat di The Wizard of Lies HBO ""bersama"" Ibu ""karya Robert De Niro Aronofsky dan sebuah adaptasi dari Agatha Christie's"" Pembunuhan di Orient Express yang juga akan dibintangi Johnny Depp, Josh Gad dan Penelope Cruz. Dia juga membintangi film indie Where is Kyra? "" yang perdana pada awal tahun ini."	Legit
Entertainment	Membakar Bayi Membakar George Michael potret yang dibeli di pelelangan oleh Anti-Gay Orlando Baptist Protesters terbakar	"Seperti halnya Baptis Westboro, kelompok Baptis Orlando tidak bisa melewatkan kesempatan untuk menari di atas nisan. Sebuah potret almarhum George Michael karya seniman Damien Hirst terjual hanya di bawah setengah juta poundsterling di sebuah lelang amal pekan lalu oleh kelompok itu, yang segera membakarnya sebagai pusat api unggun kebencian mereka. Sebuah protes nyata atas kematian penyanyi terlambat dan pemuliaan itu dipentaskan tepat di seberang jalan dari peringatan publik penyanyi akhir. ""Sekali flamer selalu flamer"" baca satu tanda. Tetapi George Michael mungkin mendapatkan tawa terakhir dalam putaran ironis, gereja tidak hanya membeli lukisan itu tetapi tidak menyadari uang itu tidak masuk ke galeri kantong dalam Mr. Love Painting akan pergi ke yayasan amal HIV / Aids The Goss-Michael Foundation. Badan amal ini didirikan oleh Michael dan mantan rekannya Kenny Goss. Goss memposting gambar karya seni di tulisan Instagram: ""Hasil luar biasa dari 580 000 (sekitar £ 461 011)."" Dia menggambarkan Damien Hirst sebagai ""superstar"" menambahkan: ""Terima kasih Damien"" Kanvas pergi di bawah palu di Dallas Texas di MTV Re: define gala amal. Michael yang menikmati karir pop yang menguntungkan sebagai setengah dari duo Wham sebelum memulai karier solo yang sukses meninggal pada Hari Natal tahun lalu pada usia 53. """	Fake
Entertainment	Bill O'Reilly meminta maaf setelah membuat lelucon rasial tentang anggota kongres	"Pembawa acara Fox News, Bill O'Reilly, meminta maaf pada hari Selasa setelah mendapat kecaman karena mengolok-olok rambut seorang anggota wanita kulit hitam. Selama penampilan di ""Fox Friends O'Reilly bereaksi terhadap klip Rep. Maxine Waters (D-CA) menyampaikan pidato di lantai Dewan Perwakilan Rakyat. Saya tidak mendengar sepatah kata pun dia berkata O'Reilly berkata tentang Waters. Aku sedang melihat wig James Brown. "" ""Jika kita memiliki foto James Brown - itu adalah wig yang sama, tambahnya. Pernyataan itu secara luas dikecam sebagai rasis dan seksis di Twitter, di mana nama O'Reilly menjadi tren pada Selasa pagi dan sore. Dalam sebuah pernyataan Selasa sore, O ""Reilly menyatakan penyesalannya atas kata-kata itu. Seperti yang telah kukatakan berkali-kali, aku menghormati wanita Kongres Maxine Waters karena tulus dalam kepercayaannya, katanya. Aku mengatakannya lagi hari ini di Fox Friends memanggilnya 'sekolah lama."" Sayangnya saya juga membuat lelucon tentang rambutnya yang bodoh. Saya minta maaf. """	Legit
Entertainment	Chris Pratt menanggapi pemalu tubuh mengatakan kepadanya bahwa dia kurus dan tampak sakit-sakitan	Chris Pratt besar atau kecil pasti telah mendengar semuanya, bintang Guardian of the Universe 37 tidak menerima desas-desus terbaru bahwa dia sedang sakit-sakitan berbaring. Pratt telah mendokumentasikan makanannya yang dia makan saat syuting film Jurassic World 3. mendatang. Dia menembak balik instagram dengan sangat berani setelah beberapa pengikut menyatakan dia perlu mendapatkan daging pada tulang-tulangnya setelah What My Snack di Instagram . Beberapa menyatakan dia terlihat seperti tengkorak dan butuh bantuan cepat. Chris menyatakan bahwa hanya karena dia laki-laki tidak berarti bahwa mempermalukan tubuh tidak sakit.	Fake
Entertainment	Alec Baldwin mengatakan dia hampir lulus bermain Donald Trump di 'SNL'	"Alec Baldwin telah mengungkapkan bahwa ia hampir lulus dari bermain Donald Trump di ""Saturday Night Live."" Aktor itu mengatakan kepada Vanity Fair untuk cerita sampulnya di bulan April bahwa ia awalnya menyampaikan tawaran produser ""SNL"" Lorne Michaels untuk bermain Trump tetapi berubah pikiran setelah peran filmnya gagal. ""Saya seharusnya membuat film. Dan orang-orang yang melakukan film itu seharusnya menyimpan uang untuk menjamin bahwa saya akan dibayar, katanya dalam video yang menyertai cerita sampul. Dan mereka tidak memasukkan uang ke dalam escrow. Dan saat itulah saya menutup telepon dan berkata bahwa saya tidak akan pergi membuat film dan saya akan melakukan hal itu dengan Lorne. Dan saya berpikir dalam hati, ""Bagaimana jika saya tidak melakukan itu?"" ... Ternyata ini kesempatan luar biasa ini. "" Kesan Baldwin begitu populer sehingga ia memasukkannya ke dalam buku satir yang akan datang dan menjadikan penampilan ke 17 sebagai pembawa acara ""SNL"" awal tahun ini. Dia berbicara tentang bermain Trump bekerja dengan bintang ""SNL"" Kate McKinnon dan Tina Fey dan membintangi peran terbaik dalam hidupnya dalam memoar barunya ""Namun demikian akan keluar bulan depan. Vanity Fair menerbitkan kutipan eksklusif."	Legit
Entertainment	Mantan Berita Fox-CFO tidak akan memiliki kekebalan dalam penyelidikan Roger Ailes	"""Penyelidikan federal yang berasal dari tuduhan pelecehan seksual yang dilakukan terhadap mantan kepala Fox News, Roger Ailes, mengambil perubahan dramatis pada hari Selasa dengan sebuah laporan bahwa jaksa penuntut akan menolak kekebalan terhadap CFO Fox News. Kepala keuangan Mark Kranz Fox News sampai masa pensiunnya terakhir Agustus telah ditawari kekebalan dari penuntutan sebagai imbalan atas kerjasamanya dengan investigasi dua sumber dengan pengetahuan masalah dikonfirmasi ke CNNMoney.Namun, tawaran ini telah ditarik setelah CFO menolak untuk menunjukkan pada tanggal pengadilan.Investigasi berpusat pada pertanyaan tentang apakah 21st Century Fox menyesatkan investor dengan menyembunyikan pembayaran kepada karyawan Fox News yang menuduh mereka dilecehkan secara seksual oleh Ailes.Ketika CFO Kranz terlibat langsung dalam menyiapkan laporan keuangan perusahaan dan karenanya berpotensi menjadi saksi kunci dalam penyelidikan, kata sumber tersebut. menolak untuk mengomentari masalah ini. Juru Bicara untuk Departemen Kehakiman dan US Att Kantor orney untuk Distrik Selatan New York yang menangani penyelidikan juga menolak berkomentar. """	Fake
