Domain	Topic	News	Label
Technology	No new threat led to airline laptop limits, officials say	U.S. and British officials said Tuesday the decision to bar laptops and tablets from the cabins of some international flights wasn't based on any specific threat but on longstanding concerns about terrorists targeting jetliners.	Legit
Technology	Amazon Prime Air drone completes its first US public delivery	Amazon Prime Air said Thursday it shipped its first package out in public in the US this week, marking another small step toward its goal of filling the skies with delivery drones.	Legit
Technology	Yahoo Denies Data Breach from 500M Accounts	"While many news outlets are reporting the state-sponsored theft of 500 million user accounts from the Yahoo network, Yahoo has denied the breach has taken place. ""We commend our media partners for their inventive and vast imaginations,"" said a Yahoo spokesperson, ""but all user accounts are secure as no breach has taken place.""  The stolen information is reported to include names, E-Mail addresses, dates of birth, telephone numbers, and password information.  Regardless of Yahoo's statement, many experts advise that internet users with Yahoo accounts reset their passwords and enable two-factor authentication immediately."	Fake
Technology	Netflix is testing a 'Skip Intro' button, and viewers love it	"No more watching the same minute-long intro song and credits before every episode of ""Orange is the New Black."" Netflix told CNNMoney Friday that some Netflix members recently began seeing a ""Skip Intro"" button while streaming, but wouldn't say when it first appeared.  "	Legit
Technology	AT&T pulls ads from YouTube, other Google sites	"AT&T doesn't want its name showing up next to videos promoting intolerance and hate. As a result, the carrier on Wednesday said it's pulling ads from YouTube and other Google ""non-search platforms."""	Legit
Technology	Facebook Messenger is eliminating Emoji's	Facebook has announced that due to the success of emoji's and how widely recognized they have become, Facebook has opted to take the bold step of deleting all emoji's. Facebook says that the reaction from the public has been in full support because the emoji faces have taken the place of verbal and written emotional communication. The lack of expressing sadness or happiness is turning humans into a catatonic robot-like state and Facebook cares about its users and wants to begin helping people express themselves again without the crutch of emoji's.	Fake
Technology	Google allows users to share their locations in mapping app	Alphabet Inc's Google announced on Wednesday that it will revamp its popular maps app to allow users to share their locations, in order to boost engagement on a product of increasing strategic importance to the search giant.	Legit
Technology	Machine Learning Opens Up New Ways to Help People in Prison	CC rules make use of technology to help millions of people enjoy television and other media formats. Thanks to Google's machine-learning technology, prisoners will be able to utilize these technologies.. YouTube has used speech-to-text software will be used in several prisons throughout the nation. Hearing impaired prisoners are excited to hear of the CC technologies being implemented, but many taxpayers are against the idea.	Fake
Technology	Amazon has more budget phones to sell you	Take a handful of budget phones. Cut their price even more. Voila -- you've got another hit on Amazon.	Legit
Technology	Super Mario Run to leave app store	The once popular Super Mario Run will be taken out of the Google play and apple app store on Friday.  Nintendo says that shortly after its release the public stopped downloading the game when current players had spread the word that in order to play the entire game you had to make an in app purchase. Nintendo and Mario fans are appalled that Nintendo would release a game for free and then charge to play it. Nintendo says they will take the game back to the drawing board, and try and release a free version at a later time.	Fake
Technology	Yahoo Reveals Massive Breach of Data from 500M Accounts	"Popular web portal Yahoo said today that it believes a ""state-sponsored actor"" stole information relating to some 500 million user accounts from its network at the end of 2014."	Legit
Technology	Ban for right hand users	The U.S. government is temporarily banning passengers on flights that leave out for the next 2 weeks. The government will determine lefties from eighties by quickly throwing a ball at unsuspecting passengers. Because of the quick reflex at is required e person's dominant hand will be shown and revealed. The reason for this ban is not immediately clear ands officials would not comment. A second official stated that is would only be a temporary inconvenience and try hope all involved will be patient.	Fake
Technology	Netflix is testing out commercials, and viewers are hating it	"In a bid to generate more revenue and keep monthly pricing low, Netflix is experimenting with adding commercials to its streams.  Netflix spokesperson Smita Saran said the feature is one of ""hundreds"" of A-B tests that the company conducts each year to try out new features.  ""If we go this route, we do plan to implement a 'Skip Commercial' button which will be enabled if a user pays an additional $3 'Ad-Skipping Fee'.  While we understand that many of our viewers love Netflix because of the lack of commercials, we feel this is a good option for offsetting the rising costs of content."	Fake
Technology	It's official Bert and Ernie of Sesame Street fame are married! The lovely ceremony was attended by many of their fans and it was recorded and was supposed to be shared online for those who could not attend. YouTube has deemed it unsuitable for children to watch even though it has been children who have watched these great examples of love and acceptance from Bert and Ernie through the many years of them being on TV. We all wish them the best and a long happy life together. We wish the same for all of our friends.	The Liverpool Club had to hire a private jet to get Philippe Coutinho and Roberto Firmino out of Brazil in time for the Merseyside Derby back in England. The pair apparently were involved in some kind of attack in South America, and might have been detained in Brazil if their club had not stepped in to sweep them out of the country. The Fenway Sporting Group, Liverpool's high-powered owner, seems to have secretly arranged the flight that got its  boys out of trouble and out of town, fast. Here's wishing the pair fights as hard on the playing field!	Fake
