Domain	Topic	News	Label
Sports	 Wilfried Zaha hits back at Southgate's 'timescale' claim over England selection	Wilfried Zaha has rejected Gareth Southgate's suggestion that he had imposed a timescale to be selected again by England  effectively holding the national team to ransom  and has defended his right to instead represent the country of his birth  Ivory Coast. The Crystal Palace forward  who had been capped by England in friendlies against Sweden and Scotland during Roy Hodgson's tenure as manager  was infuriated by Southgate's comments in the aftermath of the World Cup qualifying victory against Lithuania on Sunday. Zaha issued a statement through his representative  Will Salthouse of Unique Sports Management  on Tuesday and implied disappointment that England's recently appointed permanent manager had made public details of a meeting held with the winger in December.	Legit
Sports	Brazil qualify for 2018 World Cup after Coutinho and Neymar down Paraguay	Brazil have become the first team to qualify for the 2018 World Cup  maintaining their proud record as the tournament's only ever-present side with a little help from Lionel Messi's foul mouth and lightly regarded Peru. The five-times champions beat Paraguay 3-0 on Tuesday for their eighth successive win in the South American qualifying competition. That in itself was not enough to confirm their participation in Russia but Peru's surprise 2-1 win over Uruguay in a later game guaranteed Brazil a top-four finish.	Legit
Sports	John Wall sustains injury into Wizards' trip to Cleveland	"""The Northeast Ohio sun remained hidden while the Washington Wizards were in town and the temperature required heavy outerwear. But John Wall still felt fine. He said his weary bones felt fresh.  However, this wasn't for long. The migraine headache from earlier in the week gone, but in the fourth quarter, point guard Wall sustained a season-ending injury to his achilles. These bad vibes led to a loss to the Cavaliers - the score being 127-115, a loss to the Cleveland Cavaliers. After the injury, Wall explained how he wish he never jumped for the ball and that this may be a long road to recovery."""	Fake
Sports	Roger Federer beats Roberto Bautista Agut as Stan Wawrinka loses to Alexander Zverev	Roger Federer saw off Roberto Bautista Agut at the Miami Open to remain on course for back-to-back Masters titles but top seed Stan Wawrinka is out Federer has begun 2017 with some of the best  and most unexpected  form of his career and after claiming Masters title number 25 at Indian Wells just over a week ago  he remains on course for number 26 this weekend having equalled his best start to a season (16-1) with a 7-6 7-6 triumph. The Swiss did not have everything his own way against Bautista Agut  needing a couple of tie-breaks to see off the Spanish 14th seed in just under two hours.	Legit
Sports	 Basketball 'bible' auction sets sports memorabilia record	"The first 13 rules of basketball sold Friday for more than $4 million  setting a record for the highest sales price for sports memorabilia  according to Sotheby's  which conducted the auction. The auction house had estimated that Dr. James Naismith's two-page ""Founding Rules of Basketball"" would bring less than half the $4 338 500 that David and Suzanne Booth bid for the 119-year-old document. ""This is the birth certificate. It started here  said Selby Kiffer, Sotheby's vice president for manuscripts and books department. Naismith, a Canadian physical education instructor working at a New England YMCA, created the game of Basket Ball"" so students could play a sport indoors in winter. Naismith had no idea his invention would catch on so rapidly after the YMCA movement introduced it on an international level."	Legit
Sports	Untruthful Police Officers Imprisoned	"Under the new ""Hillsborough Law,"" 12 London policemen have already been jailed for what many observers have termed minor inconsistencies or respectful evasions in their testimony at inquests. The new law requires total candor from all police officers at every level, and 8 of the jailed policemen have already been sentenced to two-year sentences for giving what their solicitors term ""kind and tactful"" descriptions in open court, rather than the utter transparency the regulations now require. Labor MP Andy Burnham commented, ""When you're a member of one of these grieving families, sometimes you can't handle the truth."""	Fake
Sports	 State of Sport: Amateur doping findings 'concern' sports minister	"The extent of doping in amateur sport - revealed by a poll for the BBC - is a ""concern""  says sports minister Tracey Crouch. A BBC State of Sport investigation found more than a third (35%) of amateur sports people say they personally know someone who has doped. Half said performance-enhancing substance use is ""widespread"" among those who play competitive sport. Crouch said doping was ""absolutely unacceptable in any level of sport"". She added: ""I think there is still more that sports governing bodies can do on this front  working alongside UK Anti-Doping  to help promote clean sport."" The investigation into doping in UK amateur sport also found 8% of amateur sports people said they had taken steroids  while 49% thought performance-enhancing drugs (PEDs) were ""easily available"" among people who play sports regularly."	Legit
Sports	"Formula One is entering an exciting New Era this Sunday ""When Bernadete Ecclestones will host the inaugural race of the Formula One 2017 racing season for the first time ever in Melbourne Australia on Sunday."" Malory C. Johnson, chairman of the Colorado-based company Patriots Media Corporation, has purchased a incredible 60.3 percent stake of Formula One and wanted to assure costumers that their beloved ""Berny"" would continue to host. Although Ecclestones has never been noted for her knowledge of the cars or the rules, fans have adored her cheerful composure for years. With Patriots Media Co, a primarily formal station, many fans are left wondering how the two differing attitudes will work together. Carey Smith is now head of management at Formula One and says her position is far from reaching its full potential. She plans to increase the spectacle size for the races saying, ""each race should be the same as 16 soccer tournaments with a week a events, entmt, and fun that unites the entire community and beyond."""	"Setting Up Face-Off With Trump ""California's clean-air agency voted on Friday to reevaluate their stricter emissions standards for cars and trucks. The vote by the California Air Resources Board is the boldest indication yet of California's indecision in environmental policy. Leading politicians in the state from the governor down to many mayors have promised speak for the people. Mr. Trump backing industry over environmental concerns said easing emissions rules would help stimulate auto manufacturing. He vowed last week to loosen the regulations. Automakers are aggressively pursuing those changes after years of supporting stricter standards."""	Fake
Sports	 Former IndyCar and Nascar driver David Steele killed during Florida race	"Sprint car veteran David Steele has died during a race in Florida. Desoto Speedway officials said in a Facebook post on Saturday night that track owners and staff were saddened by the crash. The statement says Steele was trying to win his 100th race in Florida. ""Desoto Speedway owners and staff are saddened by tonight's passing of David Steele in the Sprint car feature  the post read. Thoughts and prayers go out to his family and friends who were all in attendance  to see him try to win his 100th Florida race."" A Manatee County Sheriff's Office report says Steele was driving a sprint car when his vehicle's left front wheel struck the right rear wheel of another car  causing Steele's vehicle to go up in the air  spin 180 degrees and hit the retaining wall. Medics attempted to treat him but he was pronounced dead. He was 42."	Legit
Sports	Lewis Hamilton says he will sit out world title race	"Lewis Hamilton, race car driver from Britain, says he will sit out this year's world title race.  In Hamilton's most recent race, he came in second at the Australian Grand Prix to Germany's Sebastian Vettel.  Hamilton said: ""After the defeat at the Australian Grand Prix, I really need some time for some mental recuperation before I get back in the game.  Perhaps in a year or two I will return with my team after we come up with a plan to go forward"".   Hamilton lost his last race due to a superior pace by Sebastian Vettel and an early pit stop by Red Bull's Max Verstappen.  ""Big rule changes are coming soon.  Once we see what the new rules are an adapt our race plan, we hopefully will be back racing again"", said  Hamilton.  In the meantime it looks like the track will miss Lewis Hamilton."	Fake
Sports	 Maria Sharapova claims she 'fought for truth' as tennis doping ban return nears	"Maria Sharapova said she feels vindicated by the reduction of her doping suspension  adding that she ""fought hard for the truth"" as she prepares to return to tennis after a 15-month ban . Russia's former world No1 was initially barred for two years after testing positive at the 2016 Australian Open for meldonium  a medication she had been taking for 10 years within the rules  but that was reclassified as a banned drug. She will return at April's Porsche Grand Prix thanks to a wildcard entry and says she feels she has got her ""day job back""."	Legit
Sports	Chelsea Reverse Decision to Seek Arsenal's Alexis Sanchez as Summer Transfer	"""Chelsea had considered making Arsenal's Alexis Sanchez one of their summer transfer targets, but have changed course and now reversed that decision. While Antonio Conte had spoken of considering bringing the player to Stamford Bridge, the talks have now broken down and Chelsea seems to be reversing their decision. Conte has sent the recruitment team, led by director Marina Granovskaia and technical director Michael Emenalo, a list of names and it seems that Sanchez was not included."""	Fake
Sports	Bruno Fernandes de Souza Exonerated at Last	"In a triumph of justice over misguided and insular ideas of human rights, popular soccer hero Bruno de Souza has at last been freed from prison. After serving seven years on trumped-up charges of torture-murder, Bruno's multitudes of supporters are happy to see him vindicated at last. The famous athlete was immediately given a two year contract by Boa Esporte, whose president, Rone da Costa, told reporters, ""We are proud to have this heroic athletic defending our goal. He should never have been taken off the field. Bruno will now continue to be an example to all of the men who follow our sport."""	Fake
Sports	WWE star Paige reveals homosexual thoughts after leaked video scandal	"""WWE star Paige has revealed she thought about giving up hetero sexual relationships after explicit images and videos of her were leaked online. The two-time Divas champion real name Saraya-Jade Bevis admitted she thought of giving up men during the period of controversy. ""I made a big mistake the 24-year-old English wrestler said. Huge. I put trust in the hands of someone that took advantage of a young girl years ago. ""It was my mistake and I'll always take responsibility. But the one thing that was the hardest was thinking 'my husband is gonna leave me my family will disown me'."""	Fake
Sports	NOVAK DJOKOVIC FEIGNS INJURY TO BOW OUT OF MIAMI OPEN	"World number two Novak Djokovic joined tennis great Andy Murray in withdrawing from the Miami Open. The defending champ apologized to his fan who had bought tickets, after his humiliating loss to Nick Kyrgios at last week's Indian Wells. ""My doctor has strongly advied against play because my elbow injury ....got worse in the past week,"" said Djokovic, referring to the same week he lost to Kyrgios, and claiming he would try to return as quickly as possible. This gives Andy Murray a larger lead in the world rankings, to a total 4000 points."	Fake
Sports	 Dai Young tells Wasps backline to raise work rate against Leinster	"Wasps' star-studded backline have been urged to show more ""belly for the fight"" if they intend to transform the club from great entertainers into title winners. No team in England has scored more tries than the Premiership leaders but the head coach  Dai Young  has warned his squad that scintillating attack alone will not earn a European semi-final at Leinster's expense on Saturday. The range of crowd-pleasing talent at Wasps' disposal behind the scrum is almost reminiscent of the Harlem Globetrotters  with Kurtley Beale  Willie le Roux  Christian Wade and Danny Cipriani capable of electrifying a game at any moment. Young  though  has no desire to be seen as the Kevin Keegan of rugby union coaching  applauded for the spectacular way his side attack but without any trophies to show for it."	Legit
Sports	Stan Wawrinka proves victorious of Roger Federer	"Stan Wawrinka wows the crowd and beats five-time British Open champion Roger Federer. After nursing a torn ACL and concurrent last-place finishes in all matches this year, Wawrinka makes a comeback in the British Open. Wawrinka's history making comeback makes him only the second male player since 1942 to win the Open after a losing season. ""I just want to thank my family and friends,"" said Wawrinka. ""A month ago, I couldn't even walk. They had to do everything for me - even help me to the john!"" he added. Meanwhile, Svetlana Kuznetsova beats Elena Vesnina, in spite of her own set of injuries last fall."	Fake
Sports	Roger Federer Beats Roberto Agut, as Spectators Cry Foul	In tennis news, many are saying that aging athlete Roger Federer found it necessary to cheat at the Miami Open. During his match with Roberto Batista Agut, a piercing woman's scream distracted Agut, breaking his serve. Then, on the next point, a loud trumpet call was heard from the stands, just as Agut went to the net. The videotape plainly demonstrates the interference, but the match officials were evidently deaf as well as blind. It is hard to believe that a beloved champion has come to this!	Fake
