Domain	Topic	News	Label
Celebrity		Apakah Single Baru Drake Berarti Dia Sudah Selesai dengan Album Terbarunya?	Legit
Celebrity	Angelina Jolie Amal Alamuddin: Ini ar	Ketika George dan Amal Clooney merayakan pernikahan mereka untuk kedua kalinya pada 25 Oktober, sekali lagi ada dua tamu yang sangat mencolok hilang - Brad Pitt dan Angelina Jolie tidak terlihat di mana pun.	Fake
Celebrity	A Thing For Blondes? Brad Pitt Siap Bergerak Diatasnya Margot Robbie	"Apakah Brad Pitt kembali ke pirang? Tak lama setelah perpisahannya dengan Angelina Jolie, desas-desus berputar-putar tentang chemistry on-set Pitt dengan aktris Allied Marion Cotillard. Ditautkan dengan banyak lawan mainnya sepanjang kariernya yang panjang, termasuk mantan calon kekasihnya, tidak heran Jolie tidak tertarik untuk membuatnya bekerja dengan bom rambut pirang, Margot Robbie. Sebuah sumber eksklusif untuk laporan OK, ""Dia pikir dia gadis terpanas di Hollywood sekarang."" Menurut sumber itu, aktor berusia 41 tahun dan Presiden Plan B Films telah “mencoba membujuknya untuk berbagai proyek film. Ini adalah masalah yang menyakitkan dengan Angie yang menghalangi mereka untuk bekerja bersama beberapa kali. Sekarang dia masih lajang lagi, kamu bisa berharap Brad mengejar Margot dengan penuh gairah. ” Dan siapa yang bisa menyalahkan dia? Wanita cantik berusia 26 tahun asal Australia ini dijuluki ""Angelina Jolie baru,"" menimbulkan ketakutan di hati para istri selebritas. Dia memiliki reputasi sendiri untuk kimia di-set dengan aktor yang sudah menikah termasuk Smith yang sakit. engan adegan seks panas dan berat dan foto-foto yang muncul dari mereka tampak nyaman di luar kamera, Smith sendiri harus mengatasi rumor di twitter, ""Mengecewakan bahwa bermain-main di lokasi syuting dapat dilakukan di luar konteks."""	Fake
Celebrity	Tom Hiddleston Tertegun Taylor Swift Merujuknya Pada Album Baru: Inilah hy	Namun, ketika sebagian besar orang yang ada atau berada dalam kehidupan Taylor Swift kemungkinan besar tahu bahwa mereka akan dipanggil di albumnya, Tom Hiddleston mengira ia aman. Tapi, mantannya menyebut dia di TO track.	Fake
Celebrity	JENNIFER ANISTON PETUNJUK DI REUNION TEMAN	"Jennifer Aniston membuat penggemar Friends sangat senang. Aktris ini mengisyaratkan dia akan terbuka untuk tampil dalam reuni acara NBC yang terkenal. ""Satu-satunya hal yang bisa saya pikirkan adalah mungkin untuk bersenang-senang melakukan episode Thanksgiving,"" kata Aniston di sebuah acara bincang-bincang di Inggris. Namun, juru bicara arner Bros., studio yang memproduksi Friends, mengatakan kepada New York Post bahwa belum ada diskusi awal tentang acara reuni Friends."	Fake
Celebrity	Lindsay Lohan: Starlet Lusting After Vladimir Putin	"LiLo tiba-tiba mengarahkan matanya yang berapi-api ke ""Kremlin Krotch,"" memberi tahu teman-teman bahwa dia akan tidur dan menikahi orang kuat Soviet yang terkenal Vladimir Putin - dan kemudian secara resmi dinobatkan sebagai ""Puteri-Tang Putri Rusia"""	Fake
Celebrity	Showdown Scientology Katie Holmes Jenna Elfman Tertangkap dalam Run-In 'GMA' yang canggung	Untuk kali ini, drama di Good Morning America tidak melibatkan Robin Roberts dan musuh bebuyutan barunya, Michael Strahan.	Fake
Celebrity	Kanye est semut untuk Masuk Bisnis Kosmetik Seperti Kylie	Kanye est ingin berhadapan langsung dengan saudara iparnya yang terkenal ... terjun langsung ke bisnis kosmetik yang didominasi oleh Kylie Jenner.	Fake
Celebrity	Dancing with the Stars 2017 Cast Termasuk Charo, Bonner Bolton, Heather Morris More	"Bagaimana dengan Dancing with the Stars? Mari kita cari tahu para pemeran Dancing with the Stars 2017 diumumkan pada Good Morning America. Para kontestan Season 24 memulai debutnya di Season Premiere, yang juga menandai episode ke-400 Dancing with the Stars. Acara ini mengudara SENIN 8 | 7c di ABC. Susunan pemain musim ini termasuk Bonner Bolton, Mr. T, Olympians Simone Biles dan Nancy Kerrigan, Heather Morris dan gadis asli ""Cuchi-Cuchi"", Charo, hanya untuk menyebutkan beberapa saja. Lihat Dancing with the Stars lengkap yang ditampilkan di bawah ini setelah Anda menikmati nomor pembukaan yang luar biasa dari Premiere Season 24"	Legit
Celebrity	Kirsten Dunst menjelaskan mengapa dia menangis di karpet merah Cannes 2017	Kirsten Dunst terlihat secara misterius menangis di karpet merah di Festival Film Cannes tahun ini, dan sekarang sepertinya kita memiliki penjelasan tentang ledakan yang tiba-tiba.	Legit
Celebrity	Di dalam baby shower Beyonce	Jangan bertingkah seolah-olah Anda tidak tahu Beyonce akan mematikannya ketika datang ke baby shower-nya.	Legit
Celebrity	Pangeran - Kebenaran di Balik Overdosis Narkoba	"Seperti dilaporkan ENQUIRER, Prince telah didiagnosis dengan HIV, virus penyebab AIDS, pada 1990-an. Ketidaktahuan Yehuwa memilih untuk tidak memerangi penyakit mematikan dengan obat-obatan karena imannya, percaya bahwa ""Tuhan akan menyelamatkan saya"" Enam bulan lalu, ia diberi tahu oleh dokter bahwa ia menderita AIDS sepenuhnya dan hanya memiliki enam bulan untuk hidup, kata sumber. ""Dia tidak bisa menahan rasa sakit yang disebabkan oleh penyakit ini pada tahap terakhirnya,"" kata orang dalam kepada The ENQUIRER. ""Dan dia tidak mau hanya membuang-buang"""	Fake
Celebrity	Blake Lively di pertanda di Hollywood, Mengarahkan dan Kemungkinan Reuni 'Gossip Girl'	"Sebagai salah satu dari Variety's Power of pertanda yang dihormati, Blake Lively akan menghadiri makan siang pada hari Jumat untuk mendukung Koalisi Penyelamatan Anak. Untuk edisi minggu ini, aktris itu berbicara tentang wanita di Hollywood, menembak di New York untuk ""Gossip Girl,"" dan apa yang dia cari dalam sebuah peran."	Legit
Celebrity	Nicole Kidman Akhirnya Mengakui Botox	Sejauh yang bisa kami katakan, Botox menempati urutan teratas dalam daftar selebritis yang bersalah: Semua orang melakukannya, tetapi tidak ada yang membicarakannya. Kecuali Nicole Kidman, itu.	Legit
Celebrity	Tom Cruise canggung memutarbalikkan pertanyaan tentang putri Suri	Tom Cruise dengan sopan menanggapi pertanyaan tentang putri Suri di pemutaran perdana Mummy-nya tadi malam, tetapi tampaknya tidak cukup nyaman membicarakannya untuk menjelaskan lebih lanjut.	Legit
Celebrity	Ya, Kim Kardashian Dan Kanye est Menandatangani Perjanjian Pranikah, Tapi Tebak, Atau Lebih	Fakta bahwa Kim Kardashian dan Kanye est berencana untuk menandatangani perjanjian pranikah mungkin tidak akan mengejutkan banyak orang, tetapi klaim baru-baru ini tentang siapa yang bernilai lebih mungkin akan.	Legit
Celebrity	Caitlyn Jenner: rumor palsu di sekitarnya, ikatan keluarga yang tegang dan memoarnya yang jujur Baca di sini -	RadarOnline menerbitkan sebuah cerita tentang Caitlyn yang mengklaim bahwa bintang TV realitas transgender dan mantan pelepasan daring akan online untuk mengeksplorasi seksualitasnya dan telah menikmati sejumlah rahasia 'cyber hookups'. Definisi 'hookups' belum diklarifikasi dalam cerita. Tetapi laporan itu menyatakan bahwa Caitlyn Jenner telah menjadi roman online tanpa interaksi offline dengan klien. Tabloid itu mengutip orang dalam yang mengatakan:	Legit
Celebrity	Aktris Aquaman, Nicole Kidman dan Amber Heard, berselisih tentang set film DC?	James dan mulai syuting untuk Aquaman di Australia bulan lalu. Sementara Jason Momoa dan aktris Mera, Amber Heard, telah melakukan syuting adegan pertama mereka bersama, aktris Queen Atlanna, Nicole Kidman, mencapai beberapa hari yang lalu. Setelah pendaratannya, dilaporkan ada percikan permusuhan di set.	Fake
