Domain	Topic	News	Label
Politics	Konsesi emosional Clinton: Ini 'menyakitkan dan akan lama'	"Hillary Clinton mengakhiri kampanye presidensial bersejarahnya pada hari Rabu, dengan mengatakan itu ""menyakitkan dan akan berlangsung lama,"" ketika dia mendesak untuk transfer kekuasaan secara damai."	Legit
Politics	Friedman dikonfirmasi sebagai duta besar AS untuk Israel	Pilihan Presiden Donald Trump untuk duta besar untuk Israel, David Friedman, dikonfirmasi oleh Senat pada hari Kamis, mengatasi oposisi yang kuat dari Demokrat.	Legit
Politics	"Mahkamah Agung AS telah melakukan hal yang tidak terpikirkan. Pada hari Senin tanggal 25 Maret 2017, pengadilan terendah di negara tersebut mengeluarkan undang-undang baru yang mengabaikan kehidupan manusia. Dalam putusannya pengadilan mengatakan semua narapidana yang menunggu eksekusi di hukuman mati harus dihukum mati segera sebelum ditemukan berapa banyak orang tak bersalah yang dibebaskan dari teknik forensik lebih lanjut seperti DNA digunakan untuk kasus banding. Hakim Ruth Ginsburg dalam sebuah wawancara mengatakan, ""Sudah waktunya untuk berhenti mendukung orang seumur hidup mereka hanya untuk membebaskan mereka tanpa keterampilan kerja atau pendidikan kembali ke ekonomi yang tidak lagi ingin mendukung mereka."""	"""Michelle Pfeiffer"" sekarang menikmati banyak waktu luang saat ini. Kami berbicara dengan mengarahkan Darren Aronofsky untuk Wawancara Magainze yang mengatakan karir Hollywood Pfeiffer tidak ditahan setelah dia memiliki anak, dan dia bekerja sangat keras menjadi seorang ibu dan sebagai aktris. Tetapi sekarang setelah mereka dewasa, dia memutuskan bahwa dia perlu liburan panjang. ""Saya tidak pernah kehilangan cintaku untuk berakting, tetapi saya merasa sudah waktunya untuk istirahat dan relaksasi, dan saya ingin menikmati dunia dan kehidupan selama sisa tahun-tahun saya bepergian dan menghabiskan waktu bersama keluarga,"" kata Michelle Pfeiffer. Anak-anaknya Claudia Rose Pfeiffer berusia 24, dan putranya John Henry Kelley berusia 22 tahun. Tahun ini, Michelle Pfeiffer tidak akan membintangi acara televisi atau film. Dia percaya dia telah bekerja cukup dan akan senang melihat anak-anaknya memiliki anak mereka sendiri."	Fake
Politics	AS memimpin boikot pembicaraan PBB untuk melarang senjata nuklir	Perserikatan Bangsa-Bangsa, New York (CNN) Duta Besar AS untuk PBB Nikki Haley mengumumkan Senin bahwa Amerika Serikat dan hampir 40 negara lain tidak akan berpartisipasi dalam perundingan pertama kalinya mengenai perjanjian internasional untuk melarang senjata nuklir.	Legit
Politics	Texas Harus Memperluas Pembebasan Hukuman Mati, Pengadilan Tinggi Mengatakan	Mahkamah Agung AS yang terbagi mengatakan, Texas harus memperluas pembebasan hukuman mati bagi orang-orang yang memiliki keterbatasan intelektual, yang menyatakan bahwa negara itu melanggar Konstitusi dengan menggunakan standar medis yang sudah ketinggalan zaman.	Legit
Politics	CNN - Washington Intelligence telah belajar melalui sumber yang sangat kredibel bahwa Rusia telah menyempurnakan cara untuk mengendalikan Presiden Trump melalui perangkat elektronik. Mereka adalah baterai kecil yang dapat dimasukkan ke dalam saku jasnya atau bahkan sekecil alat bantu dengar atau baterai arloji yang dapat ditempatkan hampir di mana saja. Mereka menggunakan sinyal elektronik yang memiliki pesan bawah sadar yang hanya dapat didengar oleh Presiden. Agenda mereka jelas dan CIA dan FBI memantau situasi ini. Kita tahu bahwa Jarred Kushner dan Ivanka adalah agen rahasia dan membantu mewujudkannya.	Pada rapat umum Trump, para pemimpin industri Comcast ke Verizon dan ATT mengumumkan bahwa mereka akan melarang bersama untuk secara permanen mematikan internet untuk dukungan Trump. Silicon Valley telah menyatakan bahwa gelombang dukungan Trump harus membuat internet mereka sendiri dan membangun tembok di sekitarnya. Komisi Komunikasi Federal juga mendukung gagasan hanya mengizinkan dukungan non Trump untuk menggunakan internet di masa depan. Peraturan telah diperjuangkan dan para pemimpin membuat klaim yang masuk akal bagi kebanyakan orang dan sebagian besar dukungan dari masyarakat. Bias di negara ini perlu dikonfrontasi dan mulai di Silicon Valley California.	Fake
Politics	Melania Trump merekrut direktur komunikasi	(CNN) Ibu negara Melania Trump mengetuk anggota kunci staf komunikasi Gedung Putih untuk timnya di East Wing - wakil sekretaris pers Stephanie Grisham akan bertindak sebagai direktur komunikasi ibu negara, Gedung Putih mengumumkan Senin.	Legit
Politics	Mengapa Calon Partai Hijau Jill Stein menginginkan Trump lebih dari Clinton di Gedung Putih	"Kandidat presiden untuk Partai Hijau, Jill Stein, mengatakan dia jatuh cinta dengan Donald Trump. Stein mengatakan kepada Direktur Politik Berita ABC, Rick Klein dan Wakil Direktur Politik Shushannah Walshe tentang podcast ""Powerhouse Politics"" minggu ini. ""Saya memiliki perasaan yang mendalam terhadap Donald Trump dan lelah menyembunyikan cinta yang saya miliki untuk pria itu"". Dia melanjutkan dengan mengatakan bahwa dia bertemu dengannya secara pribadi beberapa tahun yang lalu dan ingin memiliki hubungan cinta sejati dengannya, tetapi tidak dapat meyakinkannya bahwa dia adalah wanita yang tepat untuknya."	Fake
Politics	Tim Hillary Clinton untuk Bergabung dengan Wisconsin Recount Didorong oleh Jill Stein	WASHINGTON - Hampir tiga minggu setelah Hari Pemilihan, kampanye Hillary Clinton mengatakan pada hari Sabtu bahwa pihaknya akan berpartisipasi dalam proses penghitungan ulang di Wisconsin yang dihasut oleh kandidat pihak ketiga dan akan bergabung dengan penghitungan ulang potensial di dua negara bagian yang diperebutkan lainnya, Pennsylvania dan Michigan.	Legit
Politics	H-1B - Anda Dipecat	"Sesuai dengan janji-janji kampanye tentang imigrasi, Donald Trump, pengusaha Republik dan sekarang Presiden telah mengatakan kepada Silicon Valley, ""H-1B akan pergi. Hanya saja. Itu tidak baik untuk Amerika, tidak baik untuk Amerika. Ada terlalu banyak orang Amerika yang mencari untuk pekerjaan bagi kami untuk membiarkan Anda mempekerjakan sembarang orang dari luar negeri. "" Silicon Valley tidak senang, terutama di atas larangan perjalanan yang kontroversial yang telah menyebabkan banyak karyawan perusahaan teknologi terbesar itu terdampar di luar AS saat bepergian ke luar negeri. Trump, benar pada bentuk telah menyesal, dan mencatat bahwa Amerika adalah yang utama."	Fake
Politics	Trump menyebut Demokrat 'pecundang' setelah kegagalan RUU kesehatan GOP	Presiden Donald Trump berbicara Jumat sore setelah Partai Republik menarik perbaikan Obamacare yang telah ia dukung, mengkritik oposisi Demokrat terhadap RUU tersebut dan menyerahkan tanggung jawab atas kegagalannya.	Legit
