Domain	Topic	News	Label
Business	California Menjunjung Standar Emisi Otomatis	"Menyiapkan Face-Off Dengan Trump ""Badan udara bersih California memberikan suara pada hari Jumat untuk mendorong maju dengan standar emisi yang lebih ketat untuk mobil dan truk menyiapkan pertempuran hukum potensial dengan administrasi Trump tentang rencana negara untuk mengurangi gas pemanasan planet. oleh Dewan Sumber Daya Udara California adalah indikasi paling berani dari rencana California untuk menentang agenda Presiden Trump.Politik terkemuka di negara bagian dari gubernur ke banyak walikota telah berjanji untuk memimpin perlawanan terhadap kebijakan Mr Trump. industri atas keprihatinan lingkungan mengatakan pelonggaran peraturan emisi akan membantu merangsang manufaktur mobil. Dia bersumpah pekan lalu untuk melonggarkan peraturan. Pembuat mobil secara agresif mengejar perubahan itu setelah bertahun-tahun mendukung standar yang lebih ketat."	Legit
Business	BrewDog mengancam gugatan terhadap rencana untuk bar dengan nama 'punk'	"BrewDog mengancam tindakan hukum untuk mencegah bar menggunakan istilah ""punk"" dalam namanya telah muncul sehari setelah pembuat bir menyalahkan pengacara ""pemicu"" untuk perselisihan serupa yang memicu reaksi media sosial. Pembuat bir yang telah menjadi kritik vokal terhadap perilaku perusahaan besar mengajukan keberatan terhadap rencana oleh promotor musik Tony Green untuk membuka sebuah bar di Leeds yang disebut Draft Punk. Green yang mengatakan nama itu adalah rujukan lidah ke mulut untuk tindakan musik dansa Prancis Daft Punk mengatakan ancaman ""mengintimidasi"" bertentangan dengan semangat gerakan punk yang diklaim oleh BrewDog."	Legit
Business	Uni Eropa Menyambut Pengambilalihan 14 Miliar Saham Deutsche Boerse di London Stock Exchange	"""Regulator Uni Eropa memuji pengambilalihan yang direncanakan Deutsche Boerse AG dari London Stock Exchange Group Plc sebagai penerimaan simbolis pada integrasi UE-UK pada hari yang sama Inggris secara resmi menyampaikan pemberitahuan tentang keputusannya untuk keluar dari UE. Kesepakatan 14 miliar untuk menciptakan pertukaran terbesar di Eropa akan menumbuhkan persaingan di negara yang akan segera menjadi 27-negara UE dengan meniadakan monopoli de facto untuk kliring obligasi dan perjanjian pembelian kembali, kata Komisi Eropa dalam sebuah pernyataan yang diemailkan pada hari Rabu.Keputusan yang ditandai bulan lalu oleh LSE menggagalkan ekspansi Deutsche Boerse hanya lima tahun setelah Uni Eropa juga menerima usulan pengikatan dengan NYSE Euronext. ""Komisi mengizinkan kesepakatan ini, Margrethe Vestager, komisaris anti-trust Uni Eropa, mengatakan kepada wartawan di Brussels. LSE tidak siap ""untuk menjual unit kecil yang akan menghilangkan kekhawatiran bahwa perusahaan gabungan itu dapat melemahkan saingannya Euronext NV. Regulator UE semakin menerima tawaran besar yang menuntut konsesi besar untuk menghilangkan bisnis yang tumpang tindih di tengah kekhawatiran bahwa perusahaan gabungan bisa mendominasi sebuah industri dan kenaikan harga. Meskipun ini adalah kedua kalinya Vestager secara resmi menerima merger, beberapa transaksi telah dibatalkan karena oposisi antimonopoli. """	Fake
Business	Uber akan menutup operasi Denmark karena undang-undang taksi baru	"Uber akan menghentikan operasinya di Denmark bulan depan setelah penerapan undang-undang taksi baru yang menurut perusahaan menandai kemunduran Eropa terbaru untuk layanan pemesanan perjalanan AS. Seorang juru bicara perusahaan Kristian Agerbo mengatakan pada hari Selasa Uber ""harus mengambil konsekuensi"" dari aturan yang antara lain akan mengharuskan taksi harus dilengkapi dengan sensor hunian kursi dan meteran tarif. Uber menangguhkan armada mobil self-driving setelah kecelakaan Arizona. Uber telah menghadapi masalah di kota-kota termasuk Madrid Frankfurt Paris dan London dan sedang menunggu keputusan dari pengadilan Eropa yang dapat menentukan bagaimana hal itu diatur di benua: sebagai layanan transportasi atau platform digital."	Legit
Business	American Airlines menjalin kemitraan dengan China Southern	"American Airlines dan maskapai terbesar China oleh penumpang China Southern telah menyetujui kemitraan strategis. Maskapai AS akan membeli saham senilai 200 juta poundsterling di perusahaan China dan keduanya akan ""berusaha untuk meningkatkan kerja sama"". China Southern adalah yang terbaru dari maskapai penerbangan top China untuk mendatangkan investor dari luar daratan. Kesepakatan itu harus menawarkan American Airlines lebih banyak kemungkinan untuk memasuki pasar penerbangan China yang sedang tumbuh. China adalah salah satu sumber wisatawan terbesar ke AS dengan perusahaan penerbangan Cina secara agresif memperluas armada mereka dan berbagai tujuan luar negeri untuk memenuhi pertumbuhan kuat dalam jumlah wisatawan."	Legit
Business	Presiden Trump dalam tatanan eksekutif memperkuat langkah-langkah keamanan pada informasi apa yang bisa dibagikan perusahaan internet dengan entitas lain. Di DPR, Partai Republik memilih untuk secara ketat membatasi apa yang bisa dibagikan. Perusahaan seperti Verizon, Facebook, Google, dan lainnya tidak dapat lagi membagikan informasi seperti check-in, nomor jaminan sosial, riwayat penelusuran di antara kerumunan yang terpengaruh. Ini juga melarang berbagi di forum publik statistik medis di situs-situs seperti Grinder, yang meminta anggota untuk membuat daftar apakah mereka HIV positif dan Hep C. Informasi ini tidak lagi terdaftar, karena melanggar standar HIPPA.	"Lee Se-dol adalah juara dunia dalam permainan papan paling kompleks di dunia, ""Go"". Pada hari Sabtu, penantang terbaru Se-dol adalah komputer Google Deepmind AlphaGo, komputer kecerdasan buatan paling canggih di dunia. Se-dol mengalahkan mesin setelah pertandingan dua jam. CEO Google DeepMind Dennis Hassabis berkomentar setelah kekalahan AlphaGo. ""Kami datang ke sini mengharapkan superkomputer kami yang dapat menghitung berkali-kali lebih cepat maka setiap manusia akan dengan mudah mengalahkan Lee. Kami cukup terkejut dengan kemenangan Lee. Tampaknya kami masih memiliki jalan panjang untuk mereplikasi intuisi manusia yang belum ada komputer yang mampu untuk mereplikasi. """	Fake
Business	EU Memblokir 14 Miliar Pengambilalihan Deutsche Boerse dari London Stock Exchange	"Regulator Uni Eropa memberikan pukulan terakhir pada pengambilalihan yang direncanakan Deutsche Boerse AG dari London Stock Exchange Group Plc blok simbolis pada integrasi UE-UK pada hari yang sama Inggris secara resmi menyampaikan pemberitahuan tentang keputusannya untuk keluar dari UE. Kesepakatan 14 miliar untuk menciptakan pertukaran terbesar di Eropa akan merugikan persaingan di negara yang akan segera menjadi 27-negara UE dengan menciptakan monopoli de facto untuk kliring obligasi dan perjanjian pembelian kembali, kata Komisi Eropa dalam pernyataan emailnya di hari Rabu. Keputusan yang ditandai bulan lalu oleh LSE menggagalkan ekspansi Deutsche Boerse hanya lima tahun setelah Uni Eropa juga melarang ikatan yang diusulkan dengan NYSE Euronext. ""Komisi tidak dapat mengizinkan penciptaan monopoli dan itulah yang akan terjadi dalam kasus ini Margrethe Vestager, komisaris anti-trust Uni Eropa, mengatakan kepada wartawan di Brussels. LSE tidak siap"" untuk menjual unit kecil yang akan menghilangkan kekhawatiran bahwa gabungan perusahaan bisa saja melemahkan saingan Euronext NV. Regulator UE menjadi semakin tangguh dalam kesepakatan besar yang menuntut konsesi besar untuk menghilangkan bisnis yang tumpang tindih di tengah kekhawatiran bahwa perusahaan gabungan dapat mendominasi industri dan meningkatkan harga. Meskipun ini adalah kedua kalinya Vestager secara resmi memblokir merger, beberapa transaksi telah dibatalkan karena oposisi antimonopoli."	Legit
Business	Harga emas turun hari ini, menurut mitra pengelola Ronald-Peter Stoeferle dari Incrementum AG. Ketika pasar siap, emas diperkirakan akan mengambil risiko besar dan jatuh ke 1500 per ons. Dalam upaya untuk menghindari kejatuhan itu, para manajer terkemuka berencana untuk menjual emas dengan harga terendah di jaringan belanja televisi seperti HSN, E-vine, dan tentu saja QVC. Penelepon dengan kartu kredit atau debit akan dapat menelepon dan membeli emas per ons hanya untuk 6 pembayaran bulanan mudah sebesar 19,99. Dan ketika seseorang menelepon, mereka juga akan mendapatkan ons kedua gratis, cukup membayar pengiriman dan penanganan 1999 tambahan.	"Pada hari Selasa, intelijen AS dan Inggris mengutip intelijen yang direkrut ISIS untuk melatih komputer laptop dan tablet menjadi perangkat peledak menggunakan baterai perangkat sebagai pemicu ledakan. Ledakan baru tidak terdeteksi menggunakan tindakan pencegahan keamanan di bandara utama. Intelijen menunjukkan perangkat peledak harus diaktifkan secara manual dalam penerbangan. Mengutip ancaman terhadap pelancong udara ini, para pejabat AS dan Inggris pada hari Selasa mengumumkan pelarangan perangkat elektronik seperti laptop dan tablet dari barang bawaan di penerbangan dari semua negara. ""Larangan itu akan diberlakukan sampai kita menemukan cara untuk memeriksa bagasi dengan baik"", kata Presiden Donald Trump."	Fake
Business	Alex Jones Meminta Maaf karena Mempromosikan 'Pizzagate' Hoax	"Alex Jones, seorang ahli teori konspirasi terkemuka dan pembawa acara radio sayap kanan yang populer telah meminta maaf karena membantu menyebarkan dan mempromosikan kebohongan yang dikenal sebagai Pizzagate. Pengakuan pada hari Jumat oleh Tuan Jones pembawa acara ""The Alex Jones Show"" dan operator situs web Infowars sangat mencolok. Selain mempromosikan teori konspirasi Pizzagate, ia berpendapat bahwa serangan 11 September berada di dalam pekerjaan yang dilakukan oleh pemerintah Amerika Serikat dan bahwa penembakan pada tahun 2012 di Sekolah Dasar Sandy Hook di Newtown Conn. Amandemen kedua. Teori Pizzagate yang mengemukakan tanpa bukti bahwa pejabat tinggi Demokrat terlibat dengan cincin pornografi anak setan yang berpusat di sekitar Komet Ping Pong, sebuah restoran pizza di Washington DC tumbuh di forum online sebelum membuat jalan ke tempat-tempat yang lebih terlihat termasuk pertunjukan Mr. Jones. Dan keunggulannya setelah pemilihan menarik perhatian pada proliferasi berita palsu dan menyesatkan banyak dari itu bermuatan politik yang beredar di platform seperti Facebook Twitter dan YouTube."	Legit
Business	Kepala eksekutif Alexandre de Juniac, dari International Air Transport Association mengatakan bahwa setelah mensurvei dan mensurvei penumpang, semua orang tampaknya setuju bahwa larangan laptop untuk penggunaan kabin sangat mengagumkan. Steve Harvey, yang ditunjuk oleh IATA, melakukan survei dan mengumpulkan intel. Maskapai penerbangan besar seperti Delta, Pan Am, dan Southwest telah melihat penjualan tiket merosot ke ketinggian baru. Setiap juru bicara mengatakan bahwa orang-orang jauh lebih bahagia dan melaporkan pengalaman penerbangan yang lebih baik dan bahwa penumpang merasa lebih komunal tentang pengalaman mereka. Orang-orang tampaknya benar-benar menanggapi kue dan susu dan kartun zaman dulu untuk film dalam pesawat. Cookie sekarang disajikan pada penerbangan untuk semua penerbangan internasional mengandung edibles dan kru melaporkan bahwa sebagian besar penumpang makan, menonton kartun, dan kemudian tidur sebagian besar penerbangan.	"Terlepas dari ketenarannya sebagai aktris, Emma Thompson tidak pernah pindah ke Los Angeles, tempat elit Hollywood bekerja dan membeli rumah mahal di komunitas yang terjaga keamanannya. Mengapa? Karena dia merasa dia terlalu gemuk. Selama wawancara di televisi Swedia, Thompson mengatakan: ""Ini adalah tempat yang aneh, dan saya tidak bisa tinggal di sana."" Dia kemudian menjelaskan bahwa banyak aktris anoreksia karena produsen terus-menerus mendesak mereka untuk menurunkan berat badan. Para wanita muda akan memiliki angka-angka yang indah, dan produsen masih akan menuntut agar mereka menurunkan berat badan. Mereka hanya tidak makan sehingga mereka dapat menemukan pekerjaan. Thompson mengatakan bahwa dia mengancam akan meninggalkan film Brideshead Revisited ketika seorang lawan mainnya diperintahkan untuk menurunkan berat badan. Dia mengatakan bahwa penghasil lemak yang memalukan sekarang sedang diarahkan bahkan anak-anak dan anak lelaki dan laki-laki pun tidak kebal. Perasaan malu berlanjut sampai bintang berusia 30-an. Pada saat itu banyak yang telah mengembangkan gangguan makan permanen."	Fake
