text,target,language,Domain
"Đây là cách Kate Middleton trang trí lại Cung điện Kensington Nó đã được công bố vào tháng 1 rằng Công tước và Nữ công tước xứ Cambridge sẽ chuyển đến London vào cuối năm nay, định cư tại thủ đô trong thời gian dài từ mùa thu.",0,Vietnamese,Celebrity
"Brian Cox memerankan ilmuwan Postman Pat Profesor Brian Cox mungkin tahu jalannya di sekitar lubang hitam dan partikel bos Higgs, tetapi bagaimana ia akan berjalan di tanah rumah Postman Pat di Greendale? Cari tahu minggu ini ketika ia muncul di acara kartun CBeebies sebagai Profesor Ryan Farrow seorang teman pakar luar angkasa penemu penduduk Greendale, Ted Glen. Kedatangan profesor adalah berita besar bagi Pat yang selalu ingin menjadi astronot. Postman Pat dan Space Suit mengudara pada hari Rabu pukul 07:25 BST. Gambar telah dirilis Brian memegang model Postman Pat dan kucing hitam dan putihnya Jess - serta salah satu dari bagaimana ia akan tampil sendiri dalam bentuk animasi.",0,Indonesian,Entertainment
"'Tafadhali fanya Mashabiki wa watoto wachukue pombe kupita kiasi wanapomwomba Prince Harry kwa DATE Rihanna baada ya jozi hiyo kukutana katika Barbados (lakini vipi kuhusu Meghan?) Prince Harry, 32, alikutana na Rihanna wiki hii wakati wa ziara ya Barbados",0,Swahili,Celebrity
"Je, mwigizaji wa filamu za Ahamani Nicole Kidman na Amber Heard wanajifanya kwenye sinema ya DC? James alianza utengenezaji wa filamu ya Aquaman huko Australia mwezi uliopita. hason Jason Momoa na mwigizaji wa Mera Amber Heard tayari wameshapiga tukio lao la kwanza kwa pamoja, mwigizaji wa Malkia Atlanna Nicole Kidman alifikia siku chache zilizopita. Kufuatia kutua kwake, kumeripotiwa kumekuwa na cheche kwenye seti.",1,Swahili,Celebrity
"'द वॉइस' प्लेऑफ में ब्लेक शेल्टन और जेनिफर हडसन की वापसी कलाकारों के साथ हुई हर कोई एक दूसरा मौका पाने का हकदार है, है ना?",0,Hindi,Celebrity
"GIRL ABOUT TO N: Victoria Beckham is preparing for a fifth baby Victoria Beckham, right, is preparing for a fifth baby with husband David, according to sources close to her best friend, Tana Ramsay.",1,English,Unknown
"Apa yang sebenarnya dimakan dalam sehari agar tetap bugar Di Billboard Music Awards, Cher naik ke panggung untuk menampilkan dua hit terbesarnya, dan kami kagum dengan betapa luar biasanya penerima Billboard Icon Award terlihat pada usia 71.",0,Indonesian,Celebrity
"Sàn giao dịch chứng khoán Luân Đôn-Deutsche Boerse bị chặn bởi EU Các nhà quản lý EU đã chặn sáp nhập 21 tỷ bảng của Sở giao dịch chứng khoán Luân Đôn với sàn giao dịch chứng khoán Đức Deutsche Boerse. Ủy ban châu Âu cho biết thỏa thuận này sẽ tạo ra một ""sự độc quyền trên thực tế"" đối với một số dịch vụ tài chính. Việc sáp nhập sẽ kết hợp hai nhà khai thác chứng khoán lớn nhất châu Âu. Tập đoàn giao dịch chứng khoán London cho biết họ ""hối tiếc"" quyết định của ủy ban vì thỏa thuận này sẽ tạo ra một công ty thị trường tài chính ""hàng đầu thế giới"". Nó đã cảnh báo vào tháng trước rằng thỏa thuận này khó có thể nhận được sự chấp thuận của EU đối với những lo ngại rằng nó sẽ hạn chế cạnh tranh. Công ty điều hành các sàn giao dịch chứng khoán của Anh và Ý đã đề nghị bán nhà thanh toán bù trừ có trụ sở tại Pháp để giải quyết những lo ngại đó. Tuy nhiên, Ủy ban Châu Âu đã quyết định rằng phương thuốc này không đi đủ xa. Margrethe Vestager, ủy viên phụ trách chính sách cạnh tranh cho biết: ""Nền kinh tế châu Âu phụ thuộc vào thị trường tài chính hoạt động tốt.",0,Vietnamese,Business
"Mwongozo mkubwa wa mtindo wa Victoria Beckham: Posh Spice kuandika kitabu akiwaambia Brits jinsi ya mavazi Posh amewekwa kutolewa kitabu mwaka ujao kuashiria miaka 10 katika biashara ya mitindo. Mbuni wa msichana aliyegeuzwa wa Spice anasemekana kuungana na mhariri wa Vogue wa Merika Anna intour. Wawili hao wamekuwa marafiki wa karibu katika miaka ya hivi karibuni, huku intour ikisema kuwa nguvu ya kuendesha nyuma ya mwongozo.",1,Swahili,Celebrity
"क्या टेलर स्विफ्ट और जेक गिलेनहाल फिर से डेटिंग कर रहे हैं? ऐसी खबरें हैं कि टेलर स्विफ्टिस पूर्व-प्रेमी जेक गिलेनहाल के साथ अपने रिश्ते को फिर से जगाने की कोशिश कर रही हैं। ओके मैगज़ीन बता रही है कि ""आइल्डेस्ट ड्रीम्स"" गायिका अपने पूर्व से संपर्क कर रही है जब से वह न्यूयॉर्क शहर में पार्क ith जॉर्ज में रविवार को ब्रॉडवे शो में अभिनय कर रही है।",1,Hindi,Celebrity
"Ban iliyolenga elektroniki katika cabins za ndege zingine za Amerika Serikali ya Amerika inawazuia abiria kwa muda kwa ndege kadhaa zinazotokea katika nchi zingine nane kutoka kuleta laptops, iPads, kamera na vifaa vingine vya umeme katika mizigo ya kubeba kuanzia Jumanne.",0,Swahili,Technology
"Kanye est Celebrates 40th Birthday ith Kim Kardashian in the Bahamas, Then Gets Back to ork The “Famous” rapper rocked a beige sweater, camouflage cargo pants, and his new, unreleased Yeezy sneakers while leaving a business meeting on ednesday (June 7) in Calabasas, Calif.",0,English,Unknown
