Domain	Topic	News	Label
Business	California Upholds Auto Emissions Standards	"Setting Up Face-Off With Trump  ""California's clean-air agency voted on Friday to push ahead with stricter emissions standards for cars and trucks  setting up a potential legal battle with the Trump administration over the state's plan to reduce planet-warming gases. The vote  by the California Air Resources Board  is the boldest indication yet of California's plan to stand up to President Trump's agenda. Leading politicians in the state  from the governor down to many mayors  have promised to lead the resistance to Mr. Trump's policies. Mr. Trump  backing industry over environmental concerns  said easing emissions rules would help stimulate auto manufacturing. He vowed last week to loosen the regulations. Automakers are aggressively pursuing those changes after years of supporting stricter standards."	Legit
Business	 BrewDog threatened lawsuit against plan for bar with 'punk' in name	"BrewDog threatened legal action to prevent a bar from using the term ""punk"" in its name  it has emerged  a day after the brewer blamed ""trigger-happy"" lawyers for a similar dispute that sparked a social media backlash. The brewer  which has been a vocal critic of the behaviour of large corporations  raised an objection to plans by music promoter Tony Green to open a bar in Leeds called Draft Punk. Green  who says the name was a tongue-in-cheek reference to French dance music act Daft Punk  said the ""intimidating"" threat contravened the punk movement spirit that BrewDog claims to espouse."	Legit
Business	EU Applauds Deutsche Boerse's $14 Billion Takeover of London Stock Exchange	"""European Union regulators applauded Deutsche Boerse AG's planned takeover of London Stock Exchange Group Plc a symbolic acceptance on EU-U.K. integration on the same day Britain formally serves notice of its decision to quit the EU. The $14 billion deal to create Europe's biggest exchange will foster competition in the soon-to-be 27-nation EU by negating a de facto monopoly for clearing bonds and repurchase agreements the European Commission said in an emailed statement Wednesday. The decision flagged last month by LSE thwarts Deutsche Boerse's expansion just five years after the EU also accepted a proposed tie-up with NYSE Euronext. ""The commission allows these deals, Margrethe Vestager, the EU's antitrust commissioner, told reporters in Brussels. LSE was not prepared"" to sell a small unit that would have removed concerns that the combined firm could have weakened rival Euronext NV. EU regulators have become increasingly accepting on big deals demanding weighty concessions to eliminate overlapping businesses amid concerns that a combined firm could dominate an industry and increase prices. While this is the second time that Vestager has formally accepted a merger several transactions have been ditched over antitrust opposition."""	Fake
Business	 Uber to shut down Denmark operation over new taxi laws	"Uber will shut down its operation in Denmark next month following the introduction of new taxi laws  the company has said  marking the latest European setback for the US ride-booking service. A company spokesman  Kristian Agerbo  said on Tuesday Uber ""must take the consequences"" of the rules  which among other things will require cabs to be fitted with seat occupancy sensors and fare meters.Uber suspends fleet of self-driving cars following Arizona crash. Uber has faced problems in cities including Madrid  Frankfurt  Paris and London  and is awaiting a decision from the European court of justice that could determine how it is regulated on the continent: as a transport service or a digital platform."	Legit
Business	American Airlines ties up partnership with China Southern	"American Airlines and China's biggest carrier by passengers  China Southern  have agreed a strategic partnership. The US airline will buy $200m (£159m) worth of shares in the Chinese firm and the two will ""seek to increase cooperation"". China Southern is the latest of China's top airlines to bring in an investor from outside the mainland. The deal should offer American Airlines more possibilities to tap into China's growing aviation market. China is one of the biggest sources of tourists to the US  with Chinese carriers aggressively expanding their fleets and range of overseas destinations to cater to the strong growth in traveller numbers."	Legit
Business	President Trump in an executive order strengthened security measures on what information internet companies could share with other entities. In the House, Republicans voted to strictly limit what could be shared. Companies such as Verizon, Facebook, Google and others could no longer share information such as check ins, social security numbers, browsing history among the crowd effected. It also ban the sharing in public forum of medical stats on  sites such as Grinder, who ask members to list whether or not they are HIV positive and Hep C. This information is no longer listed, as it violates HIPPA standards.	"Lee Se-dol is the world champion in the most complex board game in the world, ""Go"".  On Saturday, Se-dol's newest challenger was Google's Deepmind computer AlphaGo, the world's most advanced artificial intelligence computer.  Se-dol defeated the machine after a two hour match off.  Google DeepMind CEO Dennis Hassabis commented after AlphaGo's defeat.  "" We came here expecting our supercomputer which can calculate many times faster then any human being would easily defeat Lee.  We were quite surprised at Lee's victory.  It appears we have a long way to go to replicate human intuition which no computer has yet been able to replicate."""	Fake
Business	 EU Blocks Deutsche Boerse's $14 Billion Takeover of London Stock Exchange	"European Union regulators dealt a final blow to Deutsche Boerse AG's planned takeover of London Stock Exchange Group Plc  a symbolic block on EU-U.K. integration on the same day Britain formally serves notice of its decision to quit the EU. The $14 billion deal to create Europe's biggest exchange would have harmed competition in the soon-to-be 27-nation EU by creating a de facto monopoly for clearing bonds and repurchase agreements  the European Commission said in an emailed statement Wednesday. The decision  flagged last month by LSE  thwarts Deutsche Boerse's expansion just five years after the EU also banned a proposed tie-up with NYSE Euronext. ""The commission cannot allow the creation of monopolies and that is what would have happened in this case  Margrethe Vestager, the EU's antitrust commissioner, told reporters in Brussels. LSE was not prepared"" to sell a small unit that would have removed concerns that the combined firm could have weakened rival Euronext NV. EU regulators have become increasingly tough on big deals  demanding weighty concessions to eliminate overlapping businesses amid concerns that a combined firm could dominate an industry and increase prices. While this is the second time that Vestager has formally blocked a merger  several transactions have been ditched over antitrust opposition."	Legit
Business	The price of gold fell today, according to Ronald-Peter Stoeferle managing partner of Incrementum AG . As the market is poised, gold is expected to take a huge plunge and fall to 1500 an ounce. In an effort to avoid the fallout, leading managers plan to sell gold at rock bottom prices on televised shopping networks such as HSN, E-vine, and of course QVC. Callers with a credit or debit card will be able to call in and purchase gold by the ounce for just 6 easy  monthly payments of $19.99.  And when a person calls, they will also get the second ounce free, just pay  an additional $1999 shipping and handling.	"On Tuesday, US and British intelligence cited intelligence that ISIS recruits have been trained to rig laptop computers and tablets into explosive devices using the battery of the devices as an explosive trigger.  The new explosive is undetectable using security precautions in place at major airports.  Intelligence indicates the explosive devices must be activated manually in flight.  Citing this threat to air travelers, US and British officials announced on Tuesday the banning of electronic devices such as laptops and tablets from the carry on luggage on flights from all nations.  ""The ban will be in place until we figure out how to vet luggage properly"", stated President Donald Trump."	Fake
Business	Alex Jones Apologizes for Promoting 'Pizzagate' Hoax	"Alex Jones  a prominent conspiracy theorist and the host of a popular right-wing radio show  has apologized for helping to spread and promote the hoax known as Pizzagate. The admission on Friday by Mr. Jones  the host of ""The Alex Jones Show"" and the operator of the website Infowars  was striking. In addition to promoting the Pizzagate conspiracy theory  he has contended that the Sept. 11 attacks were inside jobs carried out by the United States government and that the 2012 shooting at Sandy Hook Elementary School in Newtown  Conn.  was a hoax concocted by those hostile to the Second Amendment. The Pizzagate theory  which posited with no evidence that top Democratic officials were involved with a satanic child pornography ring centered around Comet Ping Pong  a pizza restaurant in Washington  D.C.  grew in online forums before making its way to more visible venues  including Mr. Jones's show. And its prominence after the election drew attention to the proliferation of false and misleading news  much of it politically charged  that circulated on platforms like Facebook  Twitter and YouTube."	Legit
Business	Chief executive Alexandre de Juniac, of the International Air Transport Association has said that after surveying and polling passengers, everyone seems to be in agreement that the ban on laptops for in cabin use is awesome. Steve Harvey, who was appointed by the IATA, conducted the surveys and gathered the intel. Major air carriers such as Delta, Pan Am , and Southwest have seen  ticket sales sore to new heights. One spokesperson every said that people were much happier and reported a better flight experience and that passengers felt more communal about their experience. People really seem to respond to cookies and milk and good old time cartoons for the inflight movies. The cookies now served on flight for all international flights contain edibles and  the crew reports that most passengers eat, watch cartoons, and then sleep the majority of the flight.	"Despite her fame as an actress, Emma Thompson never moved to Los Angeles, where the Hollywood elite work and buy expensive homes in gated communities.  Why?  Because she felt she was too fat.  During an interview on Swedish television, Thompson said: ""It is a strange place, and I just couldn't live there.""  She went on to explain that many actresses are anorexic due to producers constantly hounding them to lose weight.  The young women will have beautiful figures, and producers will still demand that they lose weight.  They simply don't eat so they can find work.  Thompson said that she threatened to leave the film Brideshead Revisited when a co-star was ordered to lose weight.  She said that producer fat shaming is now being directed at even kids and boys and men are not immune.  The fat shaming continues until a star is in their 30s.  By then many have developed permanent eating disorders."	Fake
